stage,status,evidence_type,n,mean_ms,std_ms,median_ms,p95_ms,minimum_ms,maximum_ms,source
local_train_evaluate_fairness_policy,measured,measured,500,1.770988191361539,1.0047613144064202,1.47572900459636,3.7508941051783005,0.0329169852193445,7.344832993112504,outputs/major_revision/adult-mlp-5seed-ee23a65/metrics/fairness_metrics_by_client.csv
federated_method_total,measured,measured,10,106.26194979704451,3.9926764888323825,105.40291600045748,112.75597080530133,101.96091700345278,114.35208300827072,outputs/major_revision/adult-mlp-5seed-ee23a65/metrics/test_metrics.csv
local_train_evaluate_fairness_policy,measured,measured,570,1.2851361089831284,0.7186339143331039,1.0563124960754067,2.911347954068333,0.0135409936774522,4.292666999390349,outputs/major_revision/client-scaling-5seed-2d2b220/metrics/fairness_metrics_by_client.csv
federated_method_total,measured,measured,20,49.586429151531775,13.751885069370859,46.099708502879366,71.04136846464826,34.42712500691414,77.81554199755192,outputs/major_revision/client-scaling-5seed-2d2b220/metrics/test_metrics.csv
local_train_evaluate_fairness_policy,measured,measured,1500,1.2365443401504308,0.5006681946297444,1.1933125060750172,1.82168991304934,0.0124580110423266,14.516583003569394,outputs/major_revision/heterogeneity-10seed-2d2b220/metrics/fairness_metrics_by_client.csv
federated_method_total,measured,measured,30,78.08014313244105,3.893068429215235,77.1540625137277,83.99894403846702,72.94916699174792,93.3542499842588,outputs/major_revision/heterogeneity-10seed-2d2b220/metrics/test_metrics.csv
local_train_evaluate_fairness_policy,measured,measured,2000,1.0989380000974052,0.5855131738228305,0.9764999995240942,2.236002743302379,0.0117090239655226,4.226666991598904,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/fairness_metrics_by_client.csv
federated_method_total,measured,measured,40,71.4652240225405,3.508139897018501,72.26524999714456,75.8963934626081,65.49416700727306,82.64433397562243,outputs/major_revision/threshold-sensitivity-10seed-aa165b3/metrics/test_metrics.csv
local_train_evaluate_fairness_policy,measured,measured,2000,1.2543273899937049,0.6092806845071828,1.125312497606501,2.263212799152825,0.01345801865682,4.98008300201036,outputs/major_revision/adversarial-5seed-e8733cb/metrics/fairness_metrics_by_client.csv
federated_method_total,measured,measured,40,80.48801057520905,3.236297356711704,81.24183349718805,83.94688988191774,75.66850000876002,91.11950002261436,outputs/major_revision/adversarial-5seed-e8733cb/metrics/test_metrics.csv
legacy_proof_generation,measured,measured_legacy,9,705.8552222222222,280.49028452282346,790.752,992.8764,321.715,1024.478,outputs/major_revision/legacy_mvp/proof_timings.csv
legacy_single_peer_ipfs_retrieval,measured,measured_legacy,21,1.0519047619047617,0.123221712681615,1.044,1.24,0.826,1.305,outputs/major_revision/legacy_mvp/ipfs_timings.csv
v2_proof_generation,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-001
v2_proof_verification,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-001
two_peer_ipfs_add,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-002
two_peer_ipfs_pin,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-002
two_peer_ipfs_cold_retrieval,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-002
two_peer_ipfs_warm_retrieval,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-002
two_peer_ipfs_recovery,blocked,missing,0,,,,,,,BLOCKERS.md#BLK-002
