run_id,suite,comparison,metric,n,paired_t_p,paired_t_p_holm,wilcoxon_p,evidence_type,source_file
expanded-analysis-6df6bfb,mlp,B3-B0,accuracy,5,0.0222784820121267,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,macro_f1,5,0.0422181683667408,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,demographic_parity_gap,5,0.6622026187182171,1.0,0.8125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,equal_opportunity_gap,5,0.9241246462186584,1.0,1.0,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,equalized_odds_gap,5,0.8457895405957775,1.0,1.0,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,subgroup_accuracy_gap,5,0.2307555452059335,1.0,0.3125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,accuracy,5,0.1666308329742598,1.0,0.3125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,macro_f1,5,0.0844973214810002,1.0,0.0625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,demographic_parity_gap,5,0.2442129092753483,1.0,0.4375,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,equal_opportunity_gap,5,0.0234095038002768,1.0,0.0625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,equalized_odds_gap,5,0.1833924140219446,1.0,0.1875,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B3-B0,subgroup_accuracy_gap,5,0.6934763766383186,1.0,0.8125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,accuracy,5,0.5140124884442367,1.0,0.625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,macro_f1,5,0.673941061921012,1.0,0.8125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,demographic_parity_gap,5,0.0991109117247024,1.0,0.125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,equal_opportunity_gap,5,0.2619727092415664,1.0,0.3125,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,equalized_odds_gap,5,0.0330690701087676,1.0,0.0625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,subgroup_accuracy_gap,5,0.8389988052905237,1.0,1.0,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,accuracy,5,0.1208769800282256,1.0,0.1875,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,macro_f1,5,0.0250473044827315,1.0,0.0625,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,demographic_parity_gap,5,0.3893847436388087,1.0,0.4375,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
expanded-analysis-6df6bfb,mlp,B5-B0,equal_opportunity_gap,5,0.3023688851906303,1.0,0.4375,derived,outputs/revision_audit/expanded-analysis-6df6bfb/corrected_p_values.csv
