suite,method,metric,n,mean,std,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
mlp,B0,accuracy,5,0.5513545816733068,0.1107225679923275,0.4138743552085653,0.6888348081380482,0.4557768924302788,0.6969455511288181,,,,
mlp,B0,macro_f1,5,0.4714403389323648,0.08081789184180187,0.3710916722216737,0.5717890056430559,0.3845382344268267,0.5761408961408961,,,,
mlp,B0,demographic_parity_gap,5,0.09583736617017846,0.057163675920986326,0.024859287774102345,0.16681544456625458,0.0402170327009167,0.1815480561132986,,,,
mlp,B0,equal_opportunity_gap,5,0.08278703179560058,0.054368113636859804,0.015280102442460655,0.1502939611487405,0.0275731713516857,0.150548567361513,,,,
mlp,B0,equalized_odds_gap,5,0.09854627138151603,0.06799643909721421,0.014117540948450288,0.18297500181458176,0.0275731713516857,0.2006711106705915,,,,
mlp,B0,subgroup_accuracy_gap,5,0.08367821038067899,0.053926852426281154,0.01671917918651837,0.1506372415748396,0.0311932804745611,0.1588726325498382,,,,
mlp,B0,runtime_ms,5,106.92588319652714,5.400052784425717,100.22083206570574,113.63093432734854,102.24324997398072,114.35208300827072,,,,
mlp,B1,accuracy,5,0.5513545816733068,0.1107225679923275,0.4138743552085653,0.6888348081380482,0.4557768924302788,0.6969455511288181,,,,
mlp,B1,macro_f1,5,0.4714403389323648,0.08081789184180187,0.3710916722216737,0.5717890056430559,0.3845382344268267,0.5761408961408961,,,,
mlp,B1,demographic_parity_gap,5,0.09583736617017846,0.057163675920986326,0.024859287774102345,0.16681544456625458,0.0402170327009167,0.1815480561132986,,,,
mlp,B1,equal_opportunity_gap,5,0.08278703179560058,0.054368113636859804,0.015280102442460655,0.1502939611487405,0.0275731713516857,0.150548567361513,,,,
mlp,B1,equalized_odds_gap,5,0.09854627138151603,0.06799643909721421,0.014117540948450288,0.18297500181458176,0.0275731713516857,0.2006711106705915,,,,
mlp,B1,subgroup_accuracy_gap,5,0.08367821038067899,0.053926852426281154,0.01671917918651837,0.1506372415748396,0.0311932804745611,0.1588726325498382,,,,
mlp,B1,runtime_ms,5,105.59801639756188,2.367637747442193,102.65820584577465,108.53782694934911,101.96091700345278,107.9248329915572,,,,
scaling,B0,accuracy,5,0.7720185922974767,0.00024215913052867086,0.7717179120232629,0.7723192725716905,0.7716467463479416,0.7722443559096945,3.0,,,
scaling,B0,macro_f1,5,0.5124043257702461,0.001526279182956418,0.5105091998575613,0.5142994516829309,0.5103936744234694,0.5137553974769848,3.0,,,
scaling,B0,demographic_parity_gap,5,0.02574760425370094,0.0002517394093754386,0.025435028492150378,0.0260601800152515,0.0254108488788992,0.0260685127887306,3.0,,,
scaling,B0,equal_opportunity_gap,5,0.03295436954595744,0.0010962510610664018,0.03159319407043862,0.03431554502147627,0.0312272406093504,0.034067898170452,3.0,,,
scaling,B0,equalized_odds_gap,5,0.03295436954595744,0.0010962510610664018,0.03159319407043862,0.03431554502147627,0.0312272406093504,0.034067898170452,3.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17886095764137724,0.0003998982399840688,0.17836441839384398,0.1793574968889105,0.1783223416108866,0.1794128448986947,3.0,,,
scaling,B0,runtime_ms,5,36.31466659717262,2.10135528668807,33.70548939025689,38.92384380408834,34.42712500691414,39.92141698836349,3.0,,,
scaling,B0,accuracy,5,0.7719123505976095,0.0007898656874747801,0.7709316028100557,0.7728930983851634,0.7707171314741036,0.7729083665338645,5.0,,,
scaling,B0,macro_f1,5,0.5119177554098554,0.004185130794915424,0.5067212291740351,0.5171142816456757,0.5059314950480023,0.5172081513282466,5.0,,,
scaling,B0,demographic_parity_gap,5,0.02551108114342206,0.0013594594363138248,0.0238230893043328,0.02719907298251132,0.0233477106963219,0.0270347086511368,5.0,,,
scaling,B0,equal_opportunity_gap,5,0.032318034833898876,0.0030004554352477536,0.028592477341736935,0.03604359232606082,0.0291817158302825,0.0359769023066276,5.0,,,
scaling,B0,equalized_odds_gap,5,0.032318034833898876,0.0030004554352477536,0.028592477341736935,0.03604359232606082,0.0291817158302825,0.0359769023066276,5.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17901863971489648,0.0008630797890138745,0.17794698461330066,0.1800902948164923,0.178217351282574,0.1804904701217765,5.0,,,
scaling,B0,runtime_ms,5,40.23700000834651,1.5172274079517973,38.35311335880475,42.12088665788828,37.74274999159388,41.73666701535694,5.0,,,
scaling,B0,accuracy,5,0.7712749003984064,0.0003170607273921356,0.7708812175079592,0.7716685832888536,0.7708499335989376,0.7716467463479416,10.0,,,
scaling,B0,macro_f1,5,0.5087339733906239,0.0018103647528923265,0.5064861086533404,0.5109818381279073,0.5064244474568529,0.5110037594331038,10.0,,,
scaling,B0,demographic_parity_gap,5,0.024643436576965418,0.0008524226056169903,0.023585014116315754,0.02570185903761508,0.023544813288221,0.0257000637343848,10.0,,,
scaling,B0,equal_opportunity_gap,5,0.03173162440714908,0.0016197589613579475,0.029720428019062994,0.03374282079523516,0.0298180505423411,0.034067898170452,10.0,,,
scaling,B0,equalized_odds_gap,5,0.03173162440714908,0.0016197589613579475,0.029720428019062994,0.03374282079523516,0.0298180505423411,0.034067898170452,10.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17978347640388503,0.0004485366903143636,0.17922654454364823,0.18034040826412184,0.1791107519784829,0.1802933675298774,10.0,,,
scaling,B0,runtime_ms,5,51.466658199205995,0.8063588120388948,50.465431492662944,52.467884905749045,50.46274999040179,52.208582987077534,10.0,,,
scaling,B0,accuracy,5,0.7716069057104914,0.0005365764635016481,0.7709406580334779,0.7722731533875049,0.7710491367861886,0.7722443559096945,20.0,,,
scaling,B0,macro_f1,5,0.5099549348976337,0.0025549617467676873,0.5067825308798845,0.5131273389153829,0.5075749816901338,0.5135955540789185,20.0,,,
scaling,B0,demographic_parity_gap,5,0.02483410013650142,0.000803184206754027,0.023836815223049094,0.025831385049953744,0.0238340281437066,0.025772858900882,20.0,,,
scaling,B0,equal_opportunity_gap,5,0.03163166159331582,0.0017237011422872681,0.029491403941275016,0.03377191924535662,0.0292953878300129,0.034067898170452,20.0,,,
scaling,B0,equalized_odds_gap,5,0.03163166159331582,0.0017237011422872681,0.029491403941275016,0.03377191924535662,0.0292953878300129,0.034067898170452,20.0,,,
scaling,B0,subgroup_accuracy_gap,5,0.17947197567626433,0.0006417960736957832,0.17867508059736775,0.1802688707551609,0.1788215371229974,0.180201255266291,20.0,,,
scaling,B0,runtime_ms,5,70.32739180140197,4.396858774891959,64.86797055543232,75.78681304737162,67.36587500199676,77.81554199755192,20.0,,,
heterogeneity,B0,accuracy,10,0.7744023904382471,0.00021967057593269383,0.7742452475747151,0.7745595333017791,0.7739707835325366,0.7747675962815405,,iid,,
heterogeneity,B0,macro_f1,10,0.5232109916885747,0.0009045349023861566,0.5225639263994613,0.5238580569776881,0.5216270695103296,0.5248642040504005,,iid,,
heterogeneity,B0,demographic_parity_gap,10,0.027768190662596635,0.00034037918254368403,0.027524698063715363,0.028011683261477908,0.0271802989841313,0.0283757926002519,,iid,,
heterogeneity,B0,equal_opportunity_gap,10,0.02610737377124277,0.0013310547147281262,0.025155194588837193,0.02705955295364835,0.0228189399257761,0.0276822736227837,,iid,,
heterogeneity,B0,equalized_odds_gap,10,0.02610737377124277,0.0013310547147281262,0.025155194588837193,0.02705955295364835,0.0228189399257761,0.0276822736227837,,iid,,
heterogeneity,B0,subgroup_accuracy_gap,10,0.1778605466465669,0.0003527729280533678,0.17760818809624443,0.17811290519688935,0.1771976773507597,0.1783931709668804,,iid,,
heterogeneity,B0,runtime_ms,10,79.4206915947143,5.432916955164148,75.53421693127251,83.30716625815609,74.88716699299403,93.3542499842588,,iid,,
heterogeneity,B0,accuracy,10,0.7735524568393094,0.001158609218800209,0.7727236377333194,0.7743812759452994,0.7728419654714476,0.7767596281540504,,joint_dirichlet_0.3,,
heterogeneity,B0,macro_f1,10,0.5196214762875733,0.005226123689395887,0.515882932614907,0.5233600199602395,0.5163711618948659,0.5341647068452626,,joint_dirichlet_0.3,,
heterogeneity,B0,demographic_parity_gap,10,0.02717242972433053,0.001884286039985507,0.02582449269280278,0.02852036675585828,0.0261348689228648,0.0324763128359542,,joint_dirichlet_0.3,,
heterogeneity,B0,equal_opportunity_gap,10,0.027970794864310422,0.0026200495300983226,0.026096524338969394,0.02984506538965145,0.025227758131118,0.0327049766058454,,joint_dirichlet_0.3,,
heterogeneity,B0,equalized_odds_gap,10,0.027970794864310422,0.0026200495300983226,0.026096524338969394,0.02984506538965145,0.025227758131118,0.0327049766058454,,joint_dirichlet_0.3,,
heterogeneity,B0,subgroup_accuracy_gap,10,0.1783667709341918,0.0010808780748043315,0.17759355733886822,0.17913998452951535,0.1754495101531203,0.1792543765009739,,joint_dirichlet_0.3,,
heterogeneity,B0,runtime_ms,10,76.54921680514235,2.11081374052692,75.03923161863865,78.05920199164605,72.94916699174792,80.19675000105053,,joint_dirichlet_0.3,,
heterogeneity,B0,accuracy,10,0.7738114209827358,0.0003823430346469814,0.7735379092524514,0.7740849327130203,0.7731739707835326,0.7744355909694555,,joint_dirichlet_1.0,,
heterogeneity,B0,macro_f1,10,0.5208375738935953,0.0015051020767118625,0.5197608887288286,0.521914259058362,0.5183664264710249,0.5232917734373447,,joint_dirichlet_1.0,,
heterogeneity,B0,demographic_parity_gap,10,0.027178618015557987,0.000430428209047451,0.02687070822369131,0.027486527807424666,0.0264047666812611,0.0277844848245547,,joint_dirichlet_1.0,,
heterogeneity,B0,equal_opportunity_gap,10,0.026032315978455962,0.0020737928095277223,0.024548813970608,0.027515817986303925,0.0229097632823446,0.0292502617597682,,joint_dirichlet_1.0,,
heterogeneity,B0,equalized_odds_gap,10,0.026032315978455962,0.0020737928095277223,0.024548813970608,0.027515817986303925,0.0229097632823446,0.0292502617597682,,joint_dirichlet_1.0,,
heterogeneity,B0,subgroup_accuracy_gap,10,0.1783751416762638,0.0003635642505263097,0.17811506347888575,0.17863521987364187,0.1778810973900435,0.1789716006778515,,joint_dirichlet_1.0,,
heterogeneity,B0,runtime_ms,10,78.27052099746652,3.197288558446251,75.983318546801,80.55772344813204,75.02929199836217,84.5195000001695,,joint_dirichlet_1.0,,
threshold,B3,accuracy,10,0.7651859229747675,0.005477812648200931,0.7612673318672635,0.7691045140822715,0.7565737051792829,0.7730411686586985,,,lenient,
threshold,B3,macro_f1,10,0.47957479377084605,0.02622185683751123,0.4608168073947583,0.49833278014693383,0.4396368592505212,0.5186766089332585,,,lenient,
threshold,B3,demographic_parity_gap,10,0.01447330189627893,0.009310177048967477,0.007813202448490462,0.0211334013440674,0.002746558221861,0.0303319746440132,,,lenient,
threshold,B3,equal_opportunity_gap,10,0.01776590536891701,0.01338099554614034,0.008193717796222813,0.027338092941611207,0.0035912354889695,0.0427720887829727,,,lenient,
threshold,B3,equalized_odds_gap,10,0.01776590536891701,0.01338099554614034,0.008193717796222813,0.027338092941611207,0.0035912354889695,0.0427720887829727,,,lenient,
threshold,B3,subgroup_accuracy_gap,10,0.18595074750044685,0.005452507958842061,0.18205025827722918,0.18985123672366452,0.1776453606039659,0.1936274802335246,,,lenient,
threshold,B3,runtime_ms,10,71.92225419275928,4.797505018970049,68.49032584601014,75.35418253950843,65.71799999801442,82.64433397562243,,,lenient,
threshold,B3,accuracy,10,0.7465537848605578,0.05256204580090965,0.7089531624049307,0.7841544073161849,0.598339973439575,0.7819389110225764,,,moderate,
threshold,B3,macro_f1,10,0.4821305573032853,0.05279088064870922,0.44436623625895805,0.5198948783476125,0.4480245873996351,0.5926428818061831,,,moderate,
threshold,B3,demographic_parity_gap,10,0.03125718736928233,0.06624533741910997,-0.016131872241834877,0.07864624698039954,0.0042847447628752,0.2174893907915137,,,moderate,
