suite,method,metric,client_count,partition,policy_profile,attack_type,n,mean,ci95_low,ci95_high
mlp,B0,accuracy,,,,,5,0.5513545816733068,0.4683930942895086,0.6406772908366534
mlp,B0,macro_f1,,,,,5,0.4714403389323648,0.41053816780260155,0.5373823171217716
mlp,B0,demographic_parity_gap,,,,,5,0.09583736617017846,0.05409806196960848,0.14198751184776942
mlp,B0,equal_opportunity_gap,,,,,5,0.08278703179560058,0.04005435692208208,0.1255197066691191
mlp,B0,equalized_odds_gap,,,,,5,0.09854627138151603,0.049321017345895876,0.15466956249449654
mlp,B0,subgroup_accuracy_gap,,,,,5,0.08367821038067899,0.042602495604457724,0.12482798004686294
mlp,B0,runtime_ms,,,,,5,106.92588319652714,102.83851638669148,111.2677164026536
mlp,B1,accuracy,,,,,5,0.5513545816733068,0.4683930942895086,0.6406772908366534
mlp,B1,macro_f1,,,,,5,0.4714403389323648,0.41053816780260155,0.5373823171217716
mlp,B1,demographic_parity_gap,,,,,5,0.09583736617017846,0.05409806196960848,0.14198751184776942
mlp,B1,equal_opportunity_gap,,,,,5,0.08278703179560058,0.04005435692208208,0.1255197066691191
mlp,B1,equalized_odds_gap,,,,,5,0.09854627138151603,0.049321017345895876,0.15466956249449654
mlp,B1,subgroup_accuracy_gap,,,,,5,0.08367821038067899,0.042602495604457724,0.12482798004686291
mlp,B1,runtime_ms,,,,,5,105.59801639756188,103.64369140588678,107.29739139205776
scaling,B0,accuracy,3.0,,,,5,0.7720185922974767,0.7718061088977424,0.772191235059761
scaling,B0,macro_f1,3.0,,,,5,0.5124043257702461,0.5111886115932351,0.5135624850733629
scaling,B0,demographic_parity_gap,3.0,,,,5,0.02574760425370094,0.025543669467338097,0.025938267813236937
scaling,B0,equal_opportunity_gap,3.0,,,,5,0.03295436954595744,0.03209080507765392,0.033713401471795315
scaling,B0,equalized_odds_gap,3.0,,,,5,0.03295436954595744,0.03209080507765392,0.033713401471795315
scaling,B0,subgroup_accuracy_gap,3.0,,,,5,0.17886095764137724,0.17856220318894175,0.17919474424113307
scaling,B0,runtime_ms,3.0,,,,5,36.31466659717262,34.96707500307821,38.22116659139283
scaling,B0,accuracy,5.0,,,,5,0.7719123505976095,0.7712483399734396,0.7725099601593626
scaling,B0,macro_f1,5.0,,,,5,0.5119177554098554,0.508530653700606,0.515121900618281
scaling,B0,demographic_parity_gap,5.0,,,,5,0.02551108114342206,0.024379476368660898,0.02645756674663834
scaling,B0,equal_opportunity_gap,5.0,,,,5,0.032318034833898876,0.02997273585654702,0.03466333381125074
scaling,B0,equalized_odds_gap,5.0,,,,5,0.032318034833898876,0.02997273585654702,0.03466333381125074
scaling,B0,subgroup_accuracy_gap,5.0,,,,5,0.17901863971489648,0.17846288903816118,0.17979377885566597
scaling,B0,runtime_ms,5.0,,,,5,40.23700000834651,38.91883339965716,41.21833340614103
scaling,B0,accuracy,10.0,,,,5,0.7712749003984064,0.7710358565737051,0.7715139442231076
scaling,B0,macro_f1,10.0,,,,5,0.5087339733906239,0.5073586607804075,0.5101078611124559
scaling,B0,demographic_parity_gap,10.0,,,,5,0.024643436576965418,0.02399686144311628,0.02529001171081454
scaling,B0,equal_opportunity_gap,10.0,,,,5,0.03173162440714908,0.03056348752549764,0.033113396102364155
scaling,B0,equalized_odds_gap,10.0,,,,5,0.03173162440714908,0.03056348752549764,0.033113396102364155
scaling,B0,subgroup_accuracy_gap,10.0,,,,5,0.17978347640388503,0.17941026928574938,0.18009884055092357
scaling,B0,runtime_ms,10.0,,,,5,51.466658199205995,50.84150819457136,52.09180820384063
scaling,B0,accuracy,20.0,,,,5,0.7716069057104914,0.7711819389110226,0.7720318725099601
scaling,B0,macro_f1,20.0,,,,5,0.5099549348976337,0.5080242264572318,0.5119298933897101
scaling,B0,demographic_parity_gap,20.0,,,,5,0.02483410013650142,0.02421109868126006,0.025457101591742783
scaling,B0,equal_opportunity_gap,20.0,,,,5,0.03163166159331582,0.0302544596267331,0.03300429383126616
scaling,B0,equalized_odds_gap,20.0,,,,5,0.03163166159331582,0.0302544596267331,0.03296796448863876
scaling,B0,subgroup_accuracy_gap,20.0,,,,5,0.17947197567626433,0.178962084550272,0.17998186680225672
scaling,B0,runtime_ms,20.0,,,,5,70.32739180140197,67.58465020102449,74.29946680204011
heterogeneity,B0,accuracy,,iid,,,10,0.7744023904382471,0.7742695883134132,0.7745285524568393
heterogeneity,B0,macro_f1,,iid,,,10,0.5232109916885747,0.5226801022147078,0.5237486876124997
heterogeneity,B0,demographic_parity_gap,,iid,,,10,0.027768190662596635,0.027570444167461274,0.027966581060968325
heterogeneity,B0,equal_opportunity_gap,,iid,,,10,0.02610737377124277,0.02525060677427992,0.02678460755456109
heterogeneity,B0,equalized_odds_gap,,iid,,,10,0.02610737377124277,0.02523015723865003,0.026773240354588057
heterogeneity,B0,subgroup_accuracy_gap,,iid,,,10,0.1778605466465669,0.17765294502183657,0.1780694360777699
heterogeneity,B0,runtime_ms,,iid,,,10,79.4206915947143,76.84943318854494,83.01143478522135
heterogeneity,B0,accuracy,,joint_dirichlet_0.3,,,10,0.7735524568393094,0.773074369189907,0.7743227091633467
heterogeneity,B0,macro_f1,,joint_dirichlet_0.3,,,10,0.5196214762875733,0.5175108491203146,0.5231038100890801
heterogeneity,B0,demographic_parity_gap,,joint_dirichlet_0.3,,,10,0.02717242972433053,0.026448945263430702,0.028411153118163564
heterogeneity,B0,equal_opportunity_gap,,joint_dirichlet_0.3,,,10,0.027970794864310422,0.026475408290972845,0.029550434381267247
heterogeneity,B0,equalized_odds_gap,,joint_dirichlet_0.3,,,10,0.027970794864310422,0.02647312342665666,0.02956163164445677
heterogeneity,B0,subgroup_accuracy_gap,,joint_dirichlet_0.3,,,10,0.1783667709341918,0.17766167673084746,0.17885566399452163
heterogeneity,B0,runtime_ms,,joint_dirichlet_0.3,,,10,76.54921680514235,75.3189055549592,77.78970395957003
heterogeneity,B0,accuracy,,joint_dirichlet_1.0,,,10,0.7738114209827358,0.773585657370518,0.7740373505976097
heterogeneity,B0,macro_f1,,joint_dirichlet_1.0,,,10,0.5208375738935953,0.519958653590986,0.5217350018294553
heterogeneity,B0,demographic_parity_gap,,joint_dirichlet_1.0,,,10,0.027178618015557987,0.026915105129439464,0.02742499625543183
heterogeneity,B0,equal_opportunity_gap,,joint_dirichlet_1.0,,,10,0.026032315978455962,0.024800602747206562,0.02721873034659674
heterogeneity,B0,equalized_odds_gap,,joint_dirichlet_1.0,,,10,0.026032315978455962,0.024791407596374083,0.02721176293847255
heterogeneity,B0,subgroup_accuracy_gap,,joint_dirichlet_1.0,,,10,0.1783751416762638,0.1781675400515335,0.17859923404400252
heterogeneity,B0,runtime_ms,,joint_dirichlet_1.0,,,10,78.27052099746652,76.56732982271933,80.29095878591761
threshold,B3,accuracy,,,lenient,,10,0.7651859229747675,0.761925464807437,0.7683467795484729
threshold,B3,macro_f1,,,lenient,,10,0.47957479377084605,0.4644608506359123,0.49496979271145114
threshold,B3,demographic_parity_gap,,,lenient,,10,0.01447330189627893,0.009159924621999172,0.02011850186544378
threshold,B3,equal_opportunity_gap,,,lenient,,10,0.01776590536891701,0.010442859541964632,0.025977363563611442
threshold,B3,equalized_odds_gap,,,lenient,,10,0.01776590536891701,0.010318161643868451,0.025879457127662774
threshold,B3,subgroup_accuracy_gap,,,lenient,,10,0.18595074750044685,0.1826334381137077,0.1891215982376388
threshold,B3,runtime_ms,,,lenient,,10,71.92225419275928,69.28228371427394,74.93678937331424
threshold,B3,accuracy,,,moderate,,10,0.7465537848605578,0.7117528220451527,0.7666467463479416
threshold,B3,macro_f1,,,moderate,,10,0.4821305573032853,0.45433624916903426,0.5153334584640398
threshold,B3,demographic_parity_gap,,,moderate,,10,0.03125718736928233,0.006208739417796311,0.07411390138744291
threshold,B3,equal_opportunity_gap,,,moderate,,10,0.01188866313160072,0.0075978064731348095,0.016737366556783692
threshold,B3,equalized_odds_gap,,,moderate,,10,0.02546640680913323,0.007688684095230822,0.05574210773046588
threshold,B3,subgroup_accuracy_gap,,,moderate,,10,0.1711903951461651,0.13751930766922243,0.19083563324804187
threshold,B3,runtime_ms,,,moderate,,10,71.70650019834284,69.76322849710414,73.45915439655073
threshold,B3,accuracy,,,strict,,10,0.5006772908366534,0.34760956175298807,0.6538645418326693
