suite,comparison,metric,n,paired_t_p,paired_t_p_holm,wilcoxon_p
mlp,B1-B0,accuracy,5,1.0,1.0,1.0
mlp,B1-B0,macro_f1,5,1.0,1.0,1.0
mlp,B1-B0,demographic_parity_gap,5,1.0,1.0,1.0
mlp,B1-B0,equal_opportunity_gap,5,1.0,1.0,1.0
mlp,B1-B0,equalized_odds_gap,5,1.0,1.0,1.0
mlp,B1-B0,subgroup_accuracy_gap,5,1.0,1.0,1.0
adversarial,B6-B0,accuracy,5,0.6223142163181166,1.0,0.625
adversarial,B6-B0,macro_f1,5,0.39546452774132623,1.0,0.4375
adversarial,B6-B0,demographic_parity_gap,5,0.35030541467301274,1.0,0.4375
adversarial,B6-B0,equal_opportunity_gap,5,0.29251153350264747,1.0,0.3125
adversarial,B6-B0,equalized_odds_gap,5,0.2992726620229617,1.0,0.3125
adversarial,B6-B0,subgroup_accuracy_gap,5,0.6164398047910478,1.0,0.8125
adversarial,B6-B0,accuracy,5,0.4198897626245855,1.0,0.625
adversarial,B6-B0,macro_f1,5,0.9351388237094836,1.0,0.625
adversarial,B6-B0,demographic_parity_gap,5,0.7890007217716758,1.0,0.625
adversarial,B6-B0,equal_opportunity_gap,5,0.03871521954194192,1.0,0.125
adversarial,B6-B0,equalized_odds_gap,5,0.4180639518312193,1.0,0.4375
adversarial,B6-B0,subgroup_accuracy_gap,5,0.6736430516421917,1.0,0.625
adversarial,B6-B0,accuracy,5,0.12107087818729699,1.0,0.0625
adversarial,B6-B0,macro_f1,5,0.8827475284178871,1.0,0.8125
adversarial,B6-B0,demographic_parity_gap,5,0.5126541882246632,1.0,0.4375
adversarial,B6-B0,equal_opportunity_gap,5,0.16731303448597953,1.0,0.1875
adversarial,B6-B0,equalized_odds_gap,5,0.049972199716013466,1.0,0.125
adversarial,B6-B0,subgroup_accuracy_gap,5,0.057227905551400164,1.0,0.125
adversarial,B6-B0,accuracy,5,0.7349064075648866,1.0,0.8125
adversarial,B6-B0,macro_f1,5,0.4424814736144897,1.0,0.4375
adversarial,B6-B0,demographic_parity_gap,5,0.37337016710820803,1.0,0.625
adversarial,B6-B0,equal_opportunity_gap,5,0.20027863775109006,1.0,0.125
adversarial,B6-B0,equalized_odds_gap,5,0.22944539043167084,1.0,0.125
adversarial,B6-B0,subgroup_accuracy_gap,5,0.6367537397972285,1.0,1.0
