suite,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation
mlp,B1-B0,accuracy,5,0.0,,0.0
mlp,B1-B0,macro_f1,5,0.0,,0.0
mlp,B1-B0,demographic_parity_gap,5,0.0,,0.0
mlp,B1-B0,equal_opportunity_gap,5,0.0,,0.0
mlp,B1-B0,equalized_odds_gap,5,0.0,,0.0
mlp,B1-B0,subgroup_accuracy_gap,5,0.0,,0.0
adversarial,B6-B0,accuracy,5,-0.0060159362549800696,-0.2383333442740482,-0.3333333333333333
adversarial,B6-B0,macro_f1,5,-0.0650427073558751,-0.42529214841333346,-0.4666666666666667
adversarial,B6-B0,demographic_parity_gap,5,-0.09637912749747453,-0.4725015577183801,-0.4666666666666667
adversarial,B6-B0,equal_opportunity_gap,5,-0.07739498049582699,-0.5416254250075595,-0.6
adversarial,B6-B0,equalized_odds_gap,5,-0.08478967052994381,-0.5329163261278957,-0.6
adversarial,B6-B0,subgroup_accuracy_gap,5,-0.013305291514552897,-0.2425035791928366,-0.2
adversarial,B6-B0,accuracy,5,-0.006401062416998648,-0.4016569042911017,-0.3333333333333333
adversarial,B6-B0,macro_f1,5,-0.0048759736894793074,-0.03873615916653808,-0.3333333333333333
adversarial,B6-B0,demographic_parity_gap,5,0.0072538247100013,0.1279518481879937,-0.3333333333333333
adversarial,B6-B0,equal_opportunity_gap,5,-0.016774902593378122,-1.3558258082020112,-0.8666666666666667
adversarial,B6-B0,equalized_odds_gap,5,-0.007319064020703961,-0.4033833284217471,-0.4666666666666667
adversarial,B6-B0,subgroup_accuracy_gap,5,-0.010135694884224875,-0.20285150183784648,0.3333333333333333
adversarial,B6-B0,accuracy,5,0.12851261620185922,0.8780942206990983,1.0
adversarial,B6-B0,macro_f1,5,-0.01144399583569632,-0.07027505799094053,-0.2
adversarial,B6-B0,demographic_parity_gap,5,-0.028770723930378904,-0.32094141613840216,-0.4666666666666667
adversarial,B6-B0,equal_opportunity_gap,5,-0.049849684488798764,-0.7534588131875122,-0.7333333333333333
adversarial,B6-B0,equalized_odds_gap,5,-0.06357300027689657,-1.2419070840890063,-0.8666666666666667
adversarial,B6-B0,subgroup_accuracy_gap,5,0.06107854674690351,1.1832707411582621,0.8666666666666667
adversarial,B6-B0,accuracy,5,-0.003798140770252334,-0.16238228981690644,-0.2
adversarial,B6-B0,macro_f1,5,-0.05903985670182934,-0.38078950378242504,-0.4666666666666667
adversarial,B6-B0,demographic_parity_gap,5,-0.09114202778288012,-0.4477668534922292,-0.3333333333333333
adversarial,B6-B0,equal_opportunity_gap,5,-0.09191643565736402,-0.685143348568628,-0.8666666666666667
adversarial,B6-B0,equalized_odds_gap,5,-0.09333874033755445,-0.6336969210527836,-0.8666666666666667
adversarial,B6-B0,subgroup_accuracy_gap,5,-0.01188425524396496,-0.22818365188892836,-0.06666666666666667
