run_id,scenario_id,seed,partition,method,round,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap,evidence_type,source_file,client_count,policy_profile,aggregation_status,attack_type
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,1,10,0,1.0,0.7650828729281768,0.4933045079710596,0.0197385016208835,0.0560713817412099,0.0560713817412099,0.1773209563257241,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,2,10,0,1.0,0.7657458563535912,0.4978853924585977,0.0216742474278446,0.055297122126966,0.055297122126966,0.177347919056545,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,3,10,0,1.0,0.7670718232044199,0.5027899682075815,0.0236369559656267,0.0615536393323884,0.0615536393323884,0.1753852105187628,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,4,10,0,1.0,0.769281767955801,0.5121948701003676,0.0282166092204517,0.074066673743233,0.074066673743233,0.1721140296224593,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B0,5,10,0,1.0,0.7701657458563536,0.5186260815058309,0.0317879454755646,0.0764206727317003,0.0764206727317003,0.17181387426365,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B1,1,10,0,1.0,0.7650828729281768,0.4933045079710596,0.0197385016208835,0.0560713817412099,0.0560713817412099,0.1773209563257241,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B1,2,10,0,1.0,0.7657458563535912,0.4978853924585977,0.0216742474278446,0.055297122126966,0.055297122126966,0.177347919056545,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B1,3,10,0,1.0,0.7670718232044199,0.5027899682075815,0.0236369559656267,0.0615536393323884,0.0615536393323884,0.1753852105187628,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B1,4,10,0,1.0,0.769281767955801,0.5121948701003676,0.0282166092204517,0.074066673743233,0.074066673743233,0.1721140296224593,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
adult-core-10seed-e01b72a,adult_core,2001,iid,B1,5,10,0,1.0,0.7701657458563536,0.5186260815058309,0.0317879454755646,0.0764206727317003,0.0764206727317003,0.17181387426365,measured,outputs/major_revision/adult-core-10seed-e01b72a/metrics/fairness_metrics_global.csv,,,,
