payload,operation,mean_ms,error_ms,n
1 KiB,Add,55.42632222835285,7.737773983778119,30
1 KiB,Pin,19.768994495583076,3.4073661120298055,30
1 KiB,Cold retrieval,22.201727873956163,3.1597511445094497,30
1 KiB,Warm retrieval,0.981097099914526,0.6354690713730323,30
10 KiB,Add,56.82607933219211,11.259376640858434,30
10 KiB,Pin,20.720361029574025,3.6059346438075117,30
10 KiB,Cold retrieval,22.060944401891906,4.402478708652776,30
10 KiB,Warm retrieval,1.5207986017533888,1.0837140502796199,30
100 KiB,Add,56.406883406452835,11.989241762785241,30
100 KiB,Pin,20.536376466043293,7.106012906297103,30
100 KiB,Cold retrieval,24.33067769355451,10.471620149716404,30
100 KiB,Warm retrieval,1.5760888655980427,0.7410278437115874,30
1024 KiB,Add,81.5253846696578,14.632612737477729,30
1024 KiB,Pin,20.64753196318634,3.459261785610579,30
1024 KiB,Cold retrieval,62.76910126325674,12.214869703166187,30
1024 KiB,Warm retrieval,5.739041703054681,1.851581540540792,30
10240 KiB,Add,67.44023766174602,7.688099499985867,30
10240 KiB,Pin,17.04146106882642,0.6379680436414965,30
10240 KiB,Cold retrieval,77.21616796528299,8.716802847144805,30
10240 KiB,Warm retrieval,20.988283401432756,4.663322834918901,30
