batch_size,repetition,operation,gas_used
0,0,deploy_mock_verifier,189952
0,0,deploy_ledger,2540175
0,0,set_verifier_contract,49988
0,0,grant_verifier_role,48891
0,0,deploy_signed_verifier_v2,828703
1,1,create_round,47576
1,1,register_node,47874
1,1,submit_model,483545
1,1,close_submissions,30614
1,1,start_aggregation,30757
1,1,publish_global_model,242559
1,1,archive_round,30919
1,2,create_round,47576
1,2,register_node,47874
1,2,submit_model,483545
1,2,close_submissions,30614
1,2,start_aggregation,30757
1,2,publish_global_model,242559
1,2,archive_round,30919
1,3,create_round,47576
1,3,register_node,47874
1,3,submit_model,483545
1,3,close_submissions,30614
1,3,start_aggregation,30757
1,3,publish_global_model,242559
1,3,archive_round,30919
1,4,create_round,47576
1,4,register_node,47874
1,4,submit_model,483545
1,4,close_submissions,30614
1,4,start_aggregation,30757
1,4,publish_global_model,242559
1,4,archive_round,30919
1,5,create_round,47576
1,5,register_node,47874
1,5,submit_model,483545
1,5,close_submissions,30614
1,5,start_aggregation,30757
1,5,publish_global_model,242559
1,5,archive_round,30919
1,6,create_round,47576
1,6,register_node,47874
1,6,submit_model,483545
1,6,close_submissions,30614
1,6,start_aggregation,30757
1,6,publish_global_model,242559
1,6,archive_round,30919
1,7,create_round,47576
1,7,register_node,47862
1,7,submit_model,483533
1,7,close_submissions,30614
1,7,start_aggregation,30757
1,7,publish_global_model,242559
1,7,archive_round,30919
1,8,create_round,47576
1,8,register_node,47874
1,8,submit_model,483545
1,8,close_submissions,30614
1,8,start_aggregation,30757
1,8,publish_global_model,242559
1,8,archive_round,30919
1,9,create_round,47576
1,9,register_node,47874
1,9,submit_model,483545
1,9,close_submissions,30614
1,9,start_aggregation,30757
1,9,publish_global_model,242559
1,9,archive_round,30919
1,10,create_round,47576
1,10,register_node,47874
1,10,submit_model,483629
1,10,close_submissions,30614
1,10,start_aggregation,30757
1,10,publish_global_model,242595
1,10,archive_round,30919
1,11,create_round,47576
1,11,register_node,47874
1,11,submit_model,483629
1,11,close_submissions,30614
1,11,start_aggregation,30757
1,11,publish_global_model,242595
1,11,archive_round,30919
1,12,create_round,47576
1,12,register_node,47874
1,12,submit_model,483629
1,12,close_submissions,30614
1,12,start_aggregation,30757
1,12,publish_global_model,242595
1,12,archive_round,30919
1,13,create_round,47576
1,13,register_node,47874
1,13,submit_model,483629
1,13,close_submissions,30614
1,13,start_aggregation,30757
1,13,publish_global_model,242595
1,13,archive_round,30919
1,14,create_round,47576
1,14,register_node,47874
1,14,submit_model,483629
1,14,close_submissions,30614
1,14,start_aggregation,30757
1,14,publish_global_model,242595
1,14,archive_round,30919
1,15,create_round,47576
1,15,register_node,47874
1,15,submit_model,483629
1,15,close_submissions,30614
1,15,start_aggregation,30757
1,15,publish_global_model,242595
1,15,archive_round,30919
1,16,create_round,47576
1,16,register_node,47874
1,16,submit_model,483629
1,16,close_submissions,30614
1,16,start_aggregation,30757
1,16,publish_global_model,242595
1,16,archive_round,30919
1,17,create_round,47576
1,17,register_node,47874
1,17,submit_model,483629
1,17,close_submissions,30614
1,17,start_aggregation,30757
1,17,publish_global_model,242595
1,17,archive_round,30919
1,18,create_round,47576
1,18,register_node,47874
1,18,submit_model,483629
1,18,close_submissions,30614
1,18,start_aggregation,30757
1,18,publish_global_model,242595
1,18,archive_round,30919
1,19,create_round,47576
1,19,register_node,47874
1,19,submit_model,483629
1,19,close_submissions,30614
1,19,start_aggregation,30757
1,19,publish_global_model,242595
1,19,archive_round,30919
1,20,create_round,47576
1,20,register_node,47850
1,20,submit_model,483605
1,20,close_submissions,30614
1,20,start_aggregation,30757
1,20,publish_global_model,242595
1,20,archive_round,30919
1,21,create_round,47576
1,21,register_node,47874
1,21,submit_model,483629
1,21,close_submissions,30614
1,21,start_aggregation,30757
1,21,publish_global_model,242595
1,21,archive_round,30919
1,22,create_round,47576
1,22,register_node,47874
1,22,submit_model,483629
1,22,close_submissions,30614
1,22,start_aggregation,30757
1,22,publish_global_model,242595
1,22,archive_round,30919
1,23,create_round,47576
1,23,register_node,47874
1,23,submit_model,483629
1,23,close_submissions,30614
1,23,start_aggregation,30757
1,23,publish_global_model,242595
1,23,archive_round,30919
1,24,create_round,47576
1,24,register_node,47874
1,24,submit_model,483629
1,24,close_submissions,30614
1,24,start_aggregation,30757
1,24,publish_global_model,242595
1,24,archive_round,30919
1,25,create_round,47576
1,25,register_node,47874
1,25,submit_model,483629
1,25,close_submissions,30614
1,25,start_aggregation,30757
1,25,publish_global_model,242595
1,25,archive_round,30919
1,26,create_round,47576
1,26,register_node,47874
1,26,submit_model,483629
1,26,close_submissions,30614
1,26,start_aggregation,30757
1,26,publish_global_model,242595
1,26,archive_round,30919
1,27,create_round,47576
1,27,register_node,47874
1,27,submit_model,483629
1,27,close_submissions,30614
1,27,start_aggregation,30757
1,27,publish_global_model,242595
1,27,archive_round,30919
1,28,create_round,47576
1,28,register_node,47874
1,28,submit_model,483629
1,28,close_submissions,30614
1,28,start_aggregation,30757
1,28,publish_global_model,242595
1,28,archive_round,30919
1,29,create_round,47576
1,29,register_node,47874
1,29,submit_model,483629
1,29,close_submissions,30614
1,29,start_aggregation,30757
1,29,publish_global_model,242595
1,29,archive_round,30919
1,30,create_round,47576
1,30,register_node,47874
1,30,submit_model,483629
1,30,close_submissions,30614
1,30,start_aggregation,30757
1,30,publish_global_model,242595
1,30,archive_round,30919
5,1,create_round,47576
5,1,register_node,47862
5,1,submit_model,483533
5,1,register_node,47874
5,1,submit_model,466445
5,1,register_node,47874
5,1,submit_model,466445
5,1,register_node,47874
5,1,submit_model,466445
5,1,register_node,47874
5,1,submit_model,466445
5,1,close_submissions,30614
5,1,start_aggregation,30757
5,1,publish_global_model,347412
5,1,archive_round,30919
5,2,create_round,47576
5,2,register_node,47874
5,2,submit_model,483545
5,2,register_node,47862
5,2,submit_model,466433
5,2,register_node,47874
5,2,submit_model,466445
5,2,register_node,47874
5,2,submit_model,466445
5,2,register_node,47874
5,2,submit_model,466445
5,2,close_submissions,30614
5,2,start_aggregation,30757
5,2,publish_global_model,347412
5,2,archive_round,30919
5,3,create_round,47576
5,3,register_node,47850
5,3,submit_model,483521
5,3,register_node,47874
5,3,submit_model,466445
5,3,register_node,47874
5,3,submit_model,466445
5,3,register_node,47850
5,3,submit_model,466421
5,3,register_node,47874
5,3,submit_model,466445
5,3,close_submissions,30614
5,3,start_aggregation,30757
5,3,publish_global_model,347412
5,3,archive_round,30919
5,4,create_round,47576
5,4,register_node,47874
5,4,submit_model,483533
5,4,register_node,47874
5,4,submit_model,466445
5,4,register_node,47874
5,4,submit_model,466433
5,4,register_node,47874
5,4,submit_model,466445
5,4,register_node,47874
5,4,submit_model,466445
5,4,close_submissions,30614
5,4,start_aggregation,30757
5,4,publish_global_model,347412
5,4,archive_round,30919
5,5,create_round,47576
5,5,register_node,47874
5,5,submit_model,483533
5,5,register_node,47874
5,5,submit_model,466445
5,5,register_node,47874
5,5,submit_model,466445
5,5,register_node,47874
5,5,submit_model,466445
5,5,register_node,47874
5,5,submit_model,466445
5,5,close_submissions,30614
5,5,start_aggregation,30757
5,5,publish_global_model,347412
5,5,archive_round,30919
5,6,create_round,47576
5,6,register_node,47874
5,6,submit_model,483545
5,6,register_node,47874
5,6,submit_model,466445
5,6,register_node,47874
5,6,submit_model,466445
5,6,register_node,47874
5,6,submit_model,466445
5,6,register_node,47874
5,6,submit_model,466445
5,6,close_submissions,30614
5,6,start_aggregation,30757
5,6,publish_global_model,347412
5,6,archive_round,30919
5,7,create_round,47576
5,7,register_node,47874
5,7,submit_model,483545
5,7,register_node,47874
5,7,submit_model,466445
5,7,register_node,47874
5,7,submit_model,466421
5,7,register_node,47874
5,7,submit_model,466445
5,7,register_node,47874
5,7,submit_model,466445
5,7,close_submissions,30614
5,7,start_aggregation,30757
5,7,publish_global_model,347412
5,7,archive_round,30919
5,8,create_round,47576
5,8,register_node,47874
5,8,submit_model,483545
5,8,register_node,47874
5,8,submit_model,466445
5,8,register_node,47874
5,8,submit_model,466445
5,8,register_node,47874
5,8,submit_model,466445
5,8,register_node,47874
5,8,submit_model,466445
5,8,close_submissions,30614
5,8,start_aggregation,30757
5,8,publish_global_model,347412
5,8,archive_round,30919
5,9,create_round,47576
5,9,register_node,47874
5,9,submit_model,483545
5,9,register_node,47874
5,9,submit_model,466445
5,9,register_node,47874
5,9,submit_model,466445
5,9,register_node,47874
5,9,submit_model,466445
5,9,register_node,47874
5,9,submit_model,466445
5,9,close_submissions,30614
5,9,start_aggregation,30757
5,9,publish_global_model,347412
5,9,archive_round,30919
5,10,create_round,47576
5,10,register_node,47874
5,10,submit_model,483617
5,10,register_node,47874
5,10,submit_model,466529
5,10,register_node,47874
5,10,submit_model,466529
5,10,register_node,47874
5,10,submit_model,466529
5,10,register_node,47874
5,10,submit_model,466529
5,10,close_submissions,30614
5,10,start_aggregation,30757
5,10,publish_global_model,347496
5,10,archive_round,30919
5,11,create_round,47576
5,11,register_node,47874
5,11,submit_model,483629
5,11,register_node,47862
5,11,submit_model,466517
5,11,register_node,47862
5,11,submit_model,466517
5,11,register_node,47874
5,11,submit_model,466529
5,11,register_node,47862
5,11,submit_model,466517
5,11,close_submissions,30614
5,11,start_aggregation,30757
5,11,publish_global_model,347496
5,11,archive_round,30919
5,12,create_round,47576
5,12,register_node,47874
5,12,submit_model,483617
5,12,register_node,47874
5,12,submit_model,466529
5,12,register_node,47874
5,12,submit_model,466517
5,12,register_node,47874
5,12,submit_model,466529
5,12,register_node,47874
5,12,submit_model,466529
5,12,close_submissions,30614
5,12,start_aggregation,30757
5,12,publish_global_model,347496
5,12,archive_round,30919
5,13,create_round,47576
5,13,register_node,47862
5,13,submit_model,483617
5,13,register_node,47874
5,13,submit_model,466517
5,13,register_node,47874
5,13,submit_model,466529
5,13,register_node,47874
5,13,submit_model,466517
5,13,register_node,47874
5,13,submit_model,466529
5,13,close_submissions,30614
5,13,start_aggregation,30757
5,13,publish_global_model,347496
5,13,archive_round,30919
5,14,create_round,47576
5,14,register_node,47874
5,14,submit_model,483629
5,14,register_node,47874
5,14,submit_model,466529
5,14,register_node,47874
5,14,submit_model,466529
5,14,register_node,47874
5,14,submit_model,466529
5,14,register_node,47874
5,14,submit_model,466505
5,14,close_submissions,30614
5,14,start_aggregation,30757
5,14,publish_global_model,347496
5,14,archive_round,30919
5,15,create_round,47576
5,15,register_node,47862
5,15,submit_model,483617
5,15,register_node,47874
5,15,submit_model,466529
5,15,register_node,47874
5,15,submit_model,466529
5,15,register_node,47874
5,15,submit_model,466529
5,15,register_node,47874
5,15,submit_model,466529
5,15,close_submissions,30614
5,15,start_aggregation,30757
5,15,publish_global_model,347496
5,15,archive_round,30919
5,16,create_round,47576
5,16,register_node,47874
5,16,submit_model,483629
5,16,register_node,47874
5,16,submit_model,466529
5,16,register_node,47874
5,16,submit_model,466517
5,16,register_node,47874
5,16,submit_model,466529
5,16,register_node,47874
5,16,submit_model,466517
5,16,close_submissions,30614
5,16,start_aggregation,30757
5,16,publish_global_model,347496
5,16,archive_round,30919
5,17,create_round,47576
5,17,register_node,47874
5,17,submit_model,483629
5,17,register_node,47874
5,17,submit_model,466529
5,17,register_node,47874
5,17,submit_model,466529
5,17,register_node,47874
5,17,submit_model,466517
5,17,register_node,47874
5,17,submit_model,466517
5,17,close_submissions,30614
5,17,start_aggregation,30757
5,17,publish_global_model,347496
5,17,archive_round,30919
5,18,create_round,47576
5,18,register_node,47874
5,18,submit_model,483617
5,18,register_node,47874
5,18,submit_model,466529
5,18,register_node,47874
5,18,submit_model,466529
5,18,register_node,47874
5,18,submit_model,466529
5,18,register_node,47874
5,18,submit_model,466529
5,18,close_submissions,30614
5,18,start_aggregation,30757
5,18,publish_global_model,347496
5,18,archive_round,30919
5,19,create_round,47576
5,19,register_node,47874
5,19,submit_model,483629
5,19,register_node,47874
5,19,submit_model,466529
5,19,register_node,47874
5,19,submit_model,466529
5,19,register_node,47874
5,19,submit_model,466529
5,19,register_node,47874
5,19,submit_model,466517
5,19,close_submissions,30614
5,19,start_aggregation,30757
5,19,publish_global_model,347496
5,19,archive_round,30919
5,20,create_round,47576
5,20,register_node,47874
5,20,submit_model,483629
5,20,register_node,47874
5,20,submit_model,466529
5,20,register_node,47874
5,20,submit_model,466529
5,20,register_node,47874
5,20,submit_model,466529
5,20,register_node,47874
5,20,submit_model,466529
5,20,close_submissions,30614
5,20,start_aggregation,30757
5,20,publish_global_model,347496
5,20,archive_round,30919
5,21,create_round,47576
5,21,register_node,47874
5,21,submit_model,483629
5,21,register_node,47862
5,21,submit_model,466517
5,21,register_node,47874
5,21,submit_model,466529
5,21,register_node,47874
5,21,submit_model,466529
5,21,register_node,47862
5,21,submit_model,466517
5,21,close_submissions,30614
5,21,start_aggregation,30757
5,21,publish_global_model,347496
5,21,archive_round,30919
5,22,create_round,47576
5,22,register_node,47850
5,22,submit_model,483605
5,22,register_node,47874
5,22,submit_model,466529
5,22,register_node,47874
5,22,submit_model,466529
5,22,register_node,47874
5,22,submit_model,466529
5,22,register_node,47874
5,22,submit_model,466529
5,22,close_submissions,30614
5,22,start_aggregation,30757
5,22,publish_global_model,347496
5,22,archive_round,30919
5,23,create_round,47576
5,23,register_node,47874
5,23,submit_model,483617
5,23,register_node,47874
5,23,submit_model,466529
5,23,register_node,47874
5,23,submit_model,466529
5,23,register_node,47862
5,23,submit_model,466517
5,23,register_node,47862
5,23,submit_model,466517
5,23,close_submissions,30614
5,23,start_aggregation,30757
5,23,publish_global_model,347496
5,23,archive_round,30919
5,24,create_round,47576
5,24,register_node,47874
5,24,submit_model,483629
5,24,register_node,47874
5,24,submit_model,466529
5,24,register_node,47874
5,24,submit_model,466529
5,24,register_node,47874
5,24,submit_model,466529
5,24,register_node,47874
5,24,submit_model,466529
5,24,close_submissions,30614
5,24,start_aggregation,30757
5,24,publish_global_model,347496
5,24,archive_round,30919
5,25,create_round,47576
5,25,register_node,47874
5,25,submit_model,483629
5,25,register_node,47874
5,25,submit_model,466517
5,25,register_node,47874
5,25,submit_model,466529
5,25,register_node,47874
5,25,submit_model,466529
5,25,register_node,47874
5,25,submit_model,466529
5,25,close_submissions,30614
5,25,start_aggregation,30757
5,25,publish_global_model,347496
5,25,archive_round,30919
5,26,create_round,47576
5,26,register_node,47874
5,26,submit_model,483629
5,26,register_node,47874
5,26,submit_model,466529
5,26,register_node,47874
5,26,submit_model,466529
5,26,register_node,47874
5,26,submit_model,466529
