client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,2564,0.81065937895046,0.9168591336832322,"{""0"": 1924, ""1"": 640}","{""Female"": 851, ""Male"": 1713}","{""0|Female"": 758, ""0|Male"": 1166, ""1|Female"": 93, ""1|Male"": 547}"
1,2564,0.8413078911644716,0.9016119081818514,"{""0"": 1872, ""1"": 692}","{""Female"": 814, ""Male"": 1750}","{""0|Female"": 724, ""0|Male"": 1148, ""1|Female"": 90, ""1|Male"": 602}"
2,2564,0.797393159150842,0.911657964511513,"{""0"": 1945, ""1"": 619}","{""Female"": 838, ""Male"": 1726}","{""0|Female"": 738, ""0|Male"": 1207, ""1|Female"": 100, ""1|Male"": 519}"
3,2564,0.8081726683768473,0.913678290555806,"{""0"": 1928, ""1"": 636}","{""Female"": 843, ""Male"": 1721}","{""0|Female"": 744, ""0|Male"": 1184, ""1|Female"": 99, ""1|Male"": 537}"
4,2564,0.8069222587215535,0.9037526441935162,"{""0"": 1930, ""1"": 634}","{""Female"": 819, ""Male"": 1745}","{""0|Female"": 722, ""0|Male"": 1208, ""1|Female"": 97, ""1|Male"": 537}"
5,2564,0.7967483480661098,0.9184257843953949,"{""0"": 1946, ""1"": 618}","{""Female"": 855, ""Male"": 1709}","{""0|Female"": 761, ""0|Male"": 1185, ""1|Female"": 94, ""1|Male"": 524}"
6,2564,0.8018733578612346,0.9192031833961353,"{""0"": 1938, ""1"": 626}","{""Female"": 857, ""Male"": 1707}","{""0|Female"": 752, ""0|Male"": 1186, ""1|Female"": 105, ""1|Male"": 521}"
7,2563,0.8157308269026471,0.9043135579324146,"{""0"": 1915, ""1"": 648}","{""Female"": 820, ""Male"": 1743}","{""0|Female"": 719, ""0|Male"": 1196, ""1|Female"": 101, ""1|Male"": 547}"
8,2563,0.8101941275293106,0.8855878307651859,"{""0"": 1924, ""1"": 639}","{""Female"": 778, ""Male"": 1785}","{""0|Female"": 696, ""0|Male"": 1228, ""1|Female"": 82, ""1|Male"": 557}"
9,2563,0.8045623753796367,0.912196728863713,"{""0"": 1933, ""1"": 630}","{""Female"": 839, ""Male"": 1724}","{""0|Female"": 755, ""0|Male"": 1178, ""1|Female"": 84, ""1|Male"": 546}"
