client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,3698,0.10830625880171593,0.6403049197893083,"{""0"": 3645, ""1"": 53}","{""Female"": 601, ""Male"": 3097}","{""0|Female"": 548, ""0|Male"": 3097, ""1|Female"": 53}"
1,179,0.896434996303629,0.9809826349521634,"{""0"": 123, ""1"": 56}","{""Female"": 75, ""Male"": 104}","{""0|Female"": 63, ""0|Male"": 60, ""1|Female"": 12, ""1|Male"": 44}"
2,1446,0.4126195124820213,0.4150119299953951,"{""0"": 120, ""1"": 1326}","{""Female"": 121, ""Male"": 1325}","{""0|Female"": 119, ""0|Male"": 1, ""1|Female"": 2, ""1|Male"": 1324}"
3,9497,0.6035998300907657,0.976733754791767,"{""0"": 8096, ""1"": 1401}","{""Female"": 3898, ""Male"": 5599}","{""0|Female"": 3898, ""0|Male"": 4198, ""1|Male"": 1401}"
4,1620,0.5197027865043055,0.9255257797572608,"{""0"": 189, ""1"": 1431}","{""Female"": 552, ""Male"": 1068}","{""0|Female"": 1, ""0|Male"": 188, ""1|Female"": 551, ""1|Male"": 880}"
5,1877,0.8439079412051409,0.9623399669482378,"{""0"": 1367, ""1"": 510}","{""Female"": 1152, ""Male"": 725}","{""0|Female"": 1128, ""0|Male"": 239, ""1|Female"": 24, ""1|Male"": 486}"
6,926,0.8594223694188,0.9300515103136228,"{""0"": 664, ""1"": 262}","{""Female"": 606, ""Male"": 320}","{""0|Female"": 482, ""0|Male"": 182, ""1|Female"": 124, ""1|Male"": 138}"
7,723,0.30860045169852274,0.13785319610516575,"{""0"": 683, ""1"": 40}","{""Female"": 709, ""Male"": 14}","{""0|Female"": 683, ""1|Female"": 26, ""1|Male"": 14}"
8,3224,0.26053896757007877,0.5479024746796426,"{""0"": 3082, ""1"": 142}","{""Female"": 408, ""Male"": 2816}","{""0|Female"": 266, ""0|Male"": 2816, ""1|Female"": 142}"
9,2447,0.9981168467395193,0.39674169439555296,"{""0"": 1286, ""1"": 1161}","{""Female"": 192, ""Male"": 2255}","{""0|Female"": 181, ""0|Male"": 1105, ""1|Female"": 11, ""1|Male"": 1150}"
