client_id,sample_count,label_entropy,group_entropy,label_distribution,group_distribution,joint_distribution
0,3234,0.4154193823403348,0.7829268779693069,"{""0"": 2963, ""1"": 271}","{""Female"": 753, ""Male"": 2481}","{""0|Female"": 572, ""0|Male"": 2391, ""1|Female"": 181, ""1|Male"": 90}"
1,1364,0.6232520213783205,0.9148364623300799,"{""0"": 1152, ""1"": 212}","{""Female"": 914, ""Male"": 450}","{""0|Female"": 820, ""0|Male"": 332, ""1|Female"": 94, ""1|Male"": 118}"
2,1347,0.515023252605285,0.7198445249647136,"{""0"": 1192, ""1"": 155}","{""Female"": 268, ""Male"": 1079}","{""0|Female"": 215, ""0|Male"": 977, ""1|Female"": 53, ""1|Male"": 102}"
3,1214,0.7862191167751761,0.9607192635828263,"{""0"": 929, ""1"": 285}","{""Female"": 466, ""Male"": 748}","{""0|Female"": 426, ""0|Male"": 503, ""1|Female"": 40, ""1|Male"": 245}"
4,1071,0.9606499213371745,0.9999993711230678,"{""0"": 660, ""1"": 411}","{""Female"": 535, ""Male"": 536}","{""0|Female"": 510, ""0|Male"": 150, ""1|Female"": 25, ""1|Male"": 386}"
5,3049,0.5480362816265589,0.8327536843135449,"{""0"": 2663, ""1"": 386}","{""Female"": 805, ""Male"": 2244}","{""0|Female"": 600, ""0|Male"": 2063, ""1|Female"": 205, ""1|Male"": 181}"
6,6543,0.9935759856719977,0.3104797691640404,"{""0"": 2963, ""1"": 3580}","{""Female"": 365, ""Male"": 6178}","{""0|Female"": 318, ""0|Male"": 2645, ""1|Female"": 47, ""1|Male"": 3533}"
7,4215,0.31035101076225624,0.999345028265512,"{""0"": 3980, ""1"": 235}","{""Female"": 2171, ""Male"": 2044}","{""0|Female"": 2086, ""0|Male"": 1894, ""1|Female"": 85, ""1|Male"": 150}"
8,1373,0.9729589207113859,0.6400630730103736,"{""0"": 819, ""1"": 554}","{""Female"": 223, ""Male"": 1150}","{""0|Female"": 53, ""0|Male"": 766, ""1|Female"": 170, ""1|Male"": 384}"
9,2227,0.5617204363872826,0.6918583091034741,"{""0"": 1934, ""1"": 293}","{""Female"": 1814, ""Male"": 413}","{""0|Female"": 1769, ""0|Male"": 165, ""1|Female"": 45, ""1|Male"": 248}"
