mode,alpha,seed,client_count,sample_count,minimum_samples,attempts,partition_checksum,source_file,evidence_type
iid,,6001,10,25637,50,1,589721512761da5093f7a410da66dd6926d7bf6b14f888171f60a574c92d8601,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6001/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6001,10,25637,50,1,17db8342fdc45d45f21aba5046ebe3d8413944aacd6f70f9a8a76b2dabe032d2,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6001/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6001,10,25637,50,1,9e6089f163b03eeac8b76fb6eb24c5c2566d885b5d6a213e56e78c2c34ff66b4,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6001/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6002,10,25637,50,1,d0707e2e4553f470f55e584515cf5a014f86ea7cce648ab9ba6aedbcc50fd20a,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6002/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6002,10,25637,50,1,68e0a41dbe0e2404369d9f336a980a03c6fdab0c1955acaeba79f848aeb70c46,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6002/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6002,10,25637,50,1,9c70a5f81422337334620f6d16c9ff0ac3c68d516141db68d85e50e2e4f14a56,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6002/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6003,10,25637,50,1,bb5f42d4e3239986152cf14d394913583747f74c2fb32fbf22eb9afedd44ffd5,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6003/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6003,10,25637,50,1,fb43019f1df785786ccfb17a896450435306a57e760520089386690c18c78887,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6003/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6003,10,25637,50,1,90ac1e38d88b9ff077a0887e9a955fae35e4e4b88814ba7f7dfa66f3a4bf436e,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6003/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6004,10,25637,50,1,7f09a67be0e2f2ba18e8ac925b27b0b601d23c850a45c8226aed52ac5f2210d8,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6004/clients_10/iid/partition_summary.csv,measured
joint_dirichlet,0.3,6004,10,25637,50,1,f7f84979170fb2dc892e8aae28ae41bb57432ad148ef6f5edd19456682049dc1,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6004/clients_10/joint_dirichlet_0.3/partition_summary.csv,measured
joint_dirichlet,1.0,6004,10,25637,50,1,4d1c94c9e8ab6af3ffb8b7a9b75a920997d05b7b33f972368a41b22e1c158912,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6004/clients_10/joint_dirichlet_1.0/partition_summary.csv,measured
iid,,6005,10,25637,50,1,9a1f2cdefb92d85a3987ed1e2aaf0c02370862600c53646374bdb28a410d3d9d,outputs/major_revision/heterogeneity-b0-b3-10seed-76828c3/partitions/seed_6005/clients_10/iid/partition_summary.csv,measured
