scenario_id,executor,dataset,model,clients,rounds,method,seeds,evidence_type,source_file
adult_core,federated_core,adult,logistic_regression,10,5,B0_B1_B2_B3_B4_B5,10,measured,configs/revision/adult_core.yaml
adult_fairfed_comparison,federated_core,adult,logistic_regression,10,5,B0_B1_B3_B5,10,measured,configs/revision/adult_fairfed.yaml
adult_mlp,federated_core,adult,small_mlp,10,5,B0_B3_B5,5,measured,configs/revision/adult_mlp.yaml
adversarial,federated_core,adult,logistic_regression,10,5,B0_B6_B4_B7,5,measured,configs/revision/adversarial.yaml
approved_artifact_failure,federated_core,adult,logistic_regression,3,1,B0_B4_FAIL_CLOSED,1,measured,configs/revision/approved_artifact_failure.yaml
azure_adult_bounded,federated_core,adult,logistic_regression,20,5,B2_B4_B5_B7,5,measured,configs/revision/azure_adult.yaml
azure_compas_bounded,federated_core,compas,logistic_regression,20,5,B2_B4_B5_B7,5,measured,configs/revision/azure_compas.yaml
compas_core,federated_core,compas,logistic_regression,10,5,B0_B1_B2_B3_B4_B5,10,measured,configs/revision/compas_core.yaml
compas_fairfed_comparison,federated_core,compas,logistic_regression,10,5,B0_B1_B3_B5,10,measured,configs/revision/compas_fairfed.yaml
false_metric_reporting,federated_core,adult,logistic_regression,3,1,B0_B4_FALSE_METRICS,1,measured,configs/revision/false_metric_reporting.yaml
full_revision_matrix,planned,multiple,multiple,20,5,R0_R7,1,derived,configs/revision/full_revision_matrix.yaml
gas_benchmark,gas_benchmark,synthetic_transactions,not_applicable,20,1,hardhat_operation_gas,1,measured,configs/revision/gas_benchmark.yaml
heterogeneity_entropy,federated_core,adult,logistic_regression,10,5,B0_B3,10,measured,configs/revision/heterogeneity.yaml
ipfs_benchmark,ipfs_benchmark,artifact_payloads,not_applicable,1,1,two_peer_kubo,1,measured,configs/revision/ipfs_benchmark.yaml
ipfs_benchmark_native,ipfs_benchmark,artifact_payloads,not_applicable,1,1,two_peer_kubo_native,1,measured,configs/revision/ipfs_benchmark_native.yaml
ipfs_recovery_native,ipfs_recovery,artifact_payloads,not_applicable,1,1,two_peer_kubo_publisher_restart,1,measured,configs/revision/ipfs_recovery_native.yaml
kubo_v2_adversarial,federated_core,adult,logistic_regression,5,3,B4_B7,3,measured,configs/revision/kubo_v2_adversarial.yaml
kubo_v2_bounded,federated_core,adult,logistic_regression,10,3,B2_B4_B7,3,measured,configs/revision/kubo_v2_bounded.yaml
legacy_mvp_reproduction,legacy_mvp,synthetic_v1,logistic_regression,3,1,full_fairai_signed_v1,1,measured,configs/revision/legacy_mvp.yaml
proof_binding_v2,proof_v2,synthetic_unit,logistic_regression,3,1,proof_v2,1,measured,configs/revision/proof_binding.yaml
client_scaling,federated_core,adult,logistic_regression,20,3,B0_B2_B4,5,measured,configs/revision/scaling.yaml
client_scaling_algorithmic,federated_core,adult,logistic_regression,50,3,B0_B5_B6,5,measured,configs/revision/scaling_algorithmic.yaml
revision_smoke,smoke,synthetic_smoke,logistic_regression,1,1,local_smoke,1,measured,configs/revision/smoke.yaml
threshold_sensitivity,federated_core,adult,logistic_regression,10,5,B3_B4,10,measured,configs/revision/threshold_sensitivity.yaml
verifier_security,verifier_security,synthetic_unit,logistic_regression,3,2,v2_groth16_eip712_composite_verifier,1,measured,configs/revision/verifier_security.yaml
