analysis_family,suite,partition,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_p_holm,evidence_type,source_file,attack_type,client_count
core_logistic,adult_core,iid,B3-B0,accuracy,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,iid,B3-B0,macro_f1,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,iid,B3-B0,demographic_parity_gap,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,iid,B3-B0,equal_opportunity_gap,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,iid,B3-B0,equalized_odds_gap,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,iid,B3-B0,subgroup_accuracy_gap,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,joint_dirichlet_0.3,B3-B0,accuracy,10,-0.0110557768924302,-1.0953038761531315,-0.7818181818181819,-3.4636549786548816,0.007119642614525,6.0,0.02734375,0.1423928522905,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,joint_dirichlet_0.3,B3-B0,macro_f1,10,-0.0522692038894074,-1.07361806573412,-0.7818181818181819,-3.3950784248241948,0.0079349694336155,6.0,0.02734375,0.150764419238696,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,joint_dirichlet_0.3,B3-B0,demographic_parity_gap,10,-0.014552034612868,-0.7440631436740023,-0.6363636363636364,-2.3529342569949523,0.0430974133446673,10.0,0.083984375,0.689558613514678,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,joint_dirichlet_0.3,B3-B0,equal_opportunity_gap,10,-0.0082416198317083,-0.3240124084803606,-0.6,-1.0246172009547958,0.3322938950424229,11.0,0.10546875,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,joint_dirichlet_0.3,B3-B0,equalized_odds_gap,10,-0.0082416198317083,-0.3240124084803606,-0.6,-1.0246172009547958,0.3322938950424229,11.0,0.10546875,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,adult_core,joint_dirichlet_0.3,B3-B0,subgroup_accuracy_gap,10,0.0093096071506237,0.8706735505376251,0.6363636363636364,2.7533115181646166,0.0223553857416634,10.0,0.083984375,0.3800415576082788,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,iid,B3-B0,accuracy,10,-0.002020202020202,-0.3460498804370858,-0.4,-1.094305806210135,0.3022418705315536,16.5,0.28515625,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,iid,B3-B0,macro_f1,10,-0.0038501900986487,-0.4502711787308153,-0.4181818181818181,-1.4238824895181406,0.18821293289142,16.0,0.275390625,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,iid,B3-B0,demographic_parity_gap,10,-0.0088022550792468,-0.3991603805055861,-0.4181818181818181,-1.262255954097125,0.2385832192287657,16.0,0.275390625,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,iid,B3-B0,equal_opportunity_gap,10,-0.0039624632892804,-0.2615550039001877,-0.2222222222222222,-0.8271095457388168,0.4295584176521324,14.0,0.640625,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,iid,B3-B0,equalized_odds_gap,10,-0.0136384246664075,-0.4611860955690502,-0.5454545454545454,-1.458398487198287,0.1787272263523403,12.5,0.13671875,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,iid,B3-B0,subgroup_accuracy_gap,10,-0.006520582916711,-0.5803204708780677,-0.6,-1.835134460796108,0.0996793755956265,11.0,0.10546875,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,joint_dirichlet_0.3,B3-B0,accuracy,10,-0.068560606060606,-1.448810129248246,-0.9636363636363636,-4.58153990554739,0.0013249054735145,1.0,0.00390625,0.0317977313643481,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,joint_dirichlet_0.3,B3-B0,macro_f1,10,-0.144895246852784,-1.3366812039767912,-0.9636363636363636,-4.226957110102779,0.0022165507827374,1.0,0.00390625,0.0491278119915944,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,joint_dirichlet_0.3,B3-B0,demographic_parity_gap,10,-0.0757765131369003,-0.8998350835857608,-0.7818181818181819,-2.8455283826589977,0.0192289385697733,6.0,0.02734375,0.3461208942559201,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,joint_dirichlet_0.3,B3-B0,equal_opportunity_gap,10,-0.0168479258443465,-0.2183523484964862,-0.3454545454545454,-0.6904907536957389,0.5073003189878942,18.0,0.375,1.0,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,joint_dirichlet_0.3,B3-B0,equalized_odds_gap,10,-0.1035696689343704,-1.3378708238430446,-0.9272727272727272,-4.230719018429925,0.0022042727782256,2.0,0.005859375,0.0491278119915944,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
core_logistic,compas_core,joint_dirichlet_0.3,B3-B0,subgroup_accuracy_gap,10,0.0512950749920221,1.3446180981438551,0.9636363636363636,4.252055773218406,0.0021359918257214,1.0,0.00390625,0.0491278119915944,derived_from_paired_measured_runs,outputs/major_revision/core-statistics-bootstrap/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B3-B0,accuracy,5,-0.0811686586985391,-1.620691717971,-0.8666666666666667,-3.6239768519540743,0.0222784820121267,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B3-B0,macro_f1,5,-0.0480528696923007,-1.3166231095138436,-0.8666666666666667,-2.9440587736201045,0.0422181683667408,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B3-B0,demographic_parity_gap,5,-0.0057864795605554,-0.2106212930079703,0.2,-0.4709635286747227,0.6622026187182171,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B3-B0,equal_opportunity_gap,5,-0.0006823747280297,-0.0453401491465594,-0.0666666666666666,-0.1013836556016859,0.9241246462186584,7.0,1.0,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B3-B0,equalized_odds_gap,5,-0.0023820200714136,-0.0927758910157368,0.0,-0.2074531989842994,0.8457895405957775,5.0,1.0,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B3-B0,subgroup_accuracy_gap,5,-0.0302418683095118,-0.6315431858001226,-0.6,-1.412173494175854,0.2307555452059335,3.0,0.3125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B3-B0,accuracy,5,-0.067543160690571,-0.7550167517477243,-0.6,-1.6882687810589947,0.1666308329742598,3.0,0.3125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B3-B0,macro_f1,5,-0.0635088947139567,-1.021032743284887,-1.0,-2.283098621238099,0.0844973214810002,0.0,0.0625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B3-B0,demographic_parity_gap,5,-0.0279350097430985,-0.6100983284709104,-0.4666666666666667,-1.3642213354199508,0.2442129092753483,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B3-B0,equal_opportunity_gap,5,-0.0301446718963403,-1.5958313626334364,-1.0,-3.5683874074744817,0.0234095038002768,0.0,0.0625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B3-B0,equalized_odds_gap,5,-0.0291964740029472,-0.7185458985307837,-0.7333333333333333,-1.6067174740684986,0.1833924140219446,2.0,0.1875,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B3-B0,subgroup_accuracy_gap,5,0.0041274879463219,0.1895503822707432,0.2,0.4238475399184528,0.6934763766383186,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B5-B0,accuracy,5,0.0004382470119521,0.3198461349203513,0.3333333333333333,0.7151977000224748,0.5140124884442367,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B5-B0,macro_f1,5,-0.0001291758142382,-0.2026500880142019,-0.2,-0.4531393724460709,0.673941061921012,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B5-B0,demographic_parity_gap,5,-0.0010925774184819,-0.9569443153467908,-0.8666666666666667,-2.139792539797419,0.0991109117247024,1.0,0.125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B5-B0,equal_opportunity_gap,5,-0.0015090386376267,-0.5835117174858303,-0.6,-1.3047718659659693,0.2619727092415664,3.0,0.3125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B5-B0,equalized_odds_gap,5,-0.0021883426412199,-1.4286915539456495,-1.0,-3.19465143350228,0.0330690701087676,0.0,0.0625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,iid,B5-B0,subgroup_accuracy_gap,5,7.458445524112095e-05,0.0969399417303183,0.0666666666666666,0.2167642994438603,0.8389988052905237,7.0,1.0,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B5-B0,accuracy,5,-0.0707304116865869,-0.8787196188050497,-0.7333333333333333,-1.9648768008107935,0.1208769800282256,2.0,0.1875,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B5-B0,macro_f1,5,-0.0579907461253174,-1.5622604407441505,-1.0,-3.493320544062702,0.0250473044827315,0.0,0.0625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B5-B0,demographic_parity_gap,5,-0.0306732955134126,-0.4313667020107791,-0.4666666666666667,-0.9645652689259974,0.3893847436388087,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B5-B0,equal_opportunity_gap,5,0.0331889108680142,0.5289895258688093,0.4666666666666667,1.1828565392280412,0.3023688851906303,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B5-B0,equalized_odds_gap,5,0.0220259989507504,0.3514636665744756,0.4666666666666667,0.7858966500818481,0.4758700762619972,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,mlp,joint_dirichlet_0.3,B5-B0,subgroup_accuracy_gap,5,-0.0055402397297885,-0.1217860904578869,-0.2,-0.2723219769777737,0.7988537856341277,6.0,0.8125,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,,
expanded_sensitivity,adversarial,,B6-B0,accuracy,5,-0.00601593625498,-0.2383333442740482,-0.3333333333333333,-0.5329295591016321,0.6223142163181166,5.0,0.625,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,label_flip,
expanded_sensitivity,adversarial,,B6-B0,macro_f1,5,-0.0650427073558751,-0.4252921484133334,-0.4666666666666667,-0.950982154149143,0.3954645277413262,4.0,0.4375,1.0,derived_from_paired_measured_runs,outputs/revision_audit/expanded-analysis-6df6bfb/paired_tests.csv,label_flip,
