partition,entropy_metric,outcome,n,status,spearman_rho,p_value
iid,label_entropy,approved_numeric,100,undefined_constant,,
iid,label_entropy,excluded_numeric,100,undefined_constant,,
iid,label_entropy,excluded_sample_fraction,100,undefined_constant,,
iid,label_entropy,minority_fraction,100,measured,-0.26346241571504947,0.008085802202252699
iid,label_entropy,demographic_parity_gap,100,measured,0.09690080699914053,0.3375161201606052
iid,label_entropy,equal_opportunity_gap,100,measured,-0.08527403992483654,0.3989168294254258
iid,label_entropy,equalized_odds_gap,100,measured,-0.08167319370378637,0.4191974403297124
iid,label_entropy,subgroup_accuracy_gap,100,measured,0.34422579750922305,0.0004535471832617656
iid,group_entropy,approved_numeric,100,undefined_constant,,
iid,group_entropy,excluded_numeric,100,undefined_constant,,
iid,group_entropy,excluded_sample_fraction,100,undefined_constant,,
iid,group_entropy,minority_fraction,100,measured,1.0,0.0
iid,group_entropy,demographic_parity_gap,100,measured,-0.051948363845277394,0.6077420184601082
iid,group_entropy,equal_opportunity_gap,100,measured,0.14852022953222363,0.14028735553212934
iid,group_entropy,equalized_odds_gap,100,measured,0.1457716330749035,0.14786010601744667
iid,group_entropy,subgroup_accuracy_gap,100,measured,-0.06014150974694858,0.5522497988786531
joint_dirichlet_0.3,label_entropy,approved_numeric,100,measured,-0.15652125602586764,0.11991376213735698
joint_dirichlet_0.3,label_entropy,excluded_numeric,100,measured,0.15652125602586764,0.11991376213735698
joint_dirichlet_0.3,label_entropy,excluded_sample_fraction,100,measured,0.20110810908400953,0.0448194456168507
joint_dirichlet_0.3,label_entropy,minority_fraction,100,measured,0.4277111868038067,9.05657163571089e-06
joint_dirichlet_0.3,label_entropy,demographic_parity_gap,80,measured,0.5035069625702158,1.929588895764631e-06
joint_dirichlet_0.3,label_entropy,equal_opportunity_gap,61,measured,0.39473167283377236,0.0016435043489986597
joint_dirichlet_0.3,label_entropy,equalized_odds_gap,48,measured,0.554134583534925,4.385303752143557e-05
joint_dirichlet_0.3,label_entropy,subgroup_accuracy_gap,80,measured,0.5765353961556493,2.186157030290395e-08
joint_dirichlet_0.3,group_entropy,approved_numeric,100,measured,0.27868669601570095,0.004989965074226122
joint_dirichlet_0.3,group_entropy,excluded_numeric,100,measured,-0.27868669601570095,0.004989965074226122
joint_dirichlet_0.3,group_entropy,excluded_sample_fraction,100,measured,-0.2650332144420697,0.007702399879724099
joint_dirichlet_0.3,group_entropy,minority_fraction,100,measured,1.0,0.0
joint_dirichlet_0.3,group_entropy,demographic_parity_gap,80,measured,0.15411654564541194,0.17227328840041278
joint_dirichlet_0.3,group_entropy,equal_opportunity_gap,61,measured,0.05841880123097988,0.6547244902814013
joint_dirichlet_0.3,group_entropy,equalized_odds_gap,48,measured,0.09525466077295226,0.5195659459939351
joint_dirichlet_0.3,group_entropy,subgroup_accuracy_gap,80,measured,0.08553680262541023,0.45060450869193985
joint_dirichlet_1.0,label_entropy,approved_numeric,100,measured,-0.4385300446966921,5.030188816889154e-06
joint_dirichlet_1.0,label_entropy,excluded_numeric,100,measured,0.4385300446966921,5.030188816889154e-06
joint_dirichlet_1.0,label_entropy,excluded_sample_fraction,100,measured,0.4500086077014512,2.6356777426366363e-06
joint_dirichlet_1.0,label_entropy,minority_fraction,100,measured,0.020162016201620163,0.8421802022909975
joint_dirichlet_1.0,label_entropy,demographic_parity_gap,99,measured,0.7035876629580551,4.612073690317202e-16
joint_dirichlet_1.0,label_entropy,equal_opportunity_gap,95,measured,0.3565319651889136,0.00039063422851950795
joint_dirichlet_1.0,label_entropy,equalized_odds_gap,95,measured,0.36020435488701885,0.00033642463172625723
joint_dirichlet_1.0,label_entropy,subgroup_accuracy_gap,99,measured,0.4494372294372294,3.0631809136374265e-06
joint_dirichlet_1.0,group_entropy,approved_numeric,100,measured,0.2503909718930639,0.011984829276022013
joint_dirichlet_1.0,group_entropy,excluded_numeric,100,measured,-0.2503909718930639,0.011984829276022013
joint_dirichlet_1.0,group_entropy,excluded_sample_fraction,100,measured,-0.25188964979947154,0.01146711959120257
joint_dirichlet_1.0,group_entropy,minority_fraction,100,measured,0.9999999999999999,0.0
joint_dirichlet_1.0,group_entropy,demographic_parity_gap,99,measured,-0.020914090965244457,0.8372032038360914
joint_dirichlet_1.0,group_entropy,equal_opportunity_gap,95,measured,-0.008381402436629073,0.9357507189178971
joint_dirichlet_1.0,group_entropy,equalized_odds_gap,95,measured,-0.04797961791654181,0.6442801874455643
joint_dirichlet_1.0,group_entropy,subgroup_accuracy_gap,99,measured,0.03134199134199134,0.758109728057901
