suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high
mlp,iid,B0,accuracy,,,,5,0.5513811420982736,0.4686852589641434,0.6379814077025233
mlp,iid,B0,macro_f1,,,,5,0.47167752177224626,0.4107410440634852,0.5374058452372621
mlp,iid,B0,demographic_parity_gap,,,,5,0.0959766257909804,0.05445116566645354,0.1422334427654572
mlp,iid,B0,equal_opportunity_gap,,,,5,0.08308703448031614,0.039908925308356664,0.12626514365227562
mlp,iid,B0,equalized_odds_gap,,,,5,0.09815894729548438,0.049013557781515345,0.15302292508497153
mlp,iid,B0,subgroup_accuracy_gap,,,,5,0.08333669694208742,0.04241866423938542,0.1245730344838667
mlp,iid,B0,runtime_ms,,,,5,111.81859179632738,109.12547539919615,114.51170819345862
mlp,iid,B3,accuracy,,,,5,0.47021248339973437,0.35349269588313414,0.600597609561753
mlp,iid,B3,macro_f1,,,,5,0.4236246520799455,0.3398332268518038,0.5151258974244362
mlp,iid,B3,demographic_parity_gap,,,,5,0.09019014623042493,0.05824792003708716,0.12067930146568621
mlp,iid,B3,equal_opportunity_gap,,,,5,0.08240465975228638,0.029892651362264606,0.13491666814230813
mlp,iid,B3,equalized_odds_gap,,,,5,0.09577692722407072,0.05415631049627674,0.13739754395186468
mlp,iid,B3,subgroup_accuracy_gap,,,,5,0.0530948286325756,0.01366673987639184,0.10642128189660435
mlp,iid,B3,runtime_ms,,,,5,111.84090038295835,110.19146699691191,113.54195057647303
mlp,iid,B5,accuracy,,,,5,0.5518193891102257,0.4683665338645418,0.6425498007968129
mlp,iid,B5,macro_f1,,,,5,0.471548345958008,0.4109819081949918,0.5355633301127698
mlp,iid,B5,demographic_parity_gap,,,,5,0.09488404837249843,0.053324712117582884,0.14113481947671286
mlp,iid,B5,equal_opportunity_gap,,,,5,0.08157799584268936,0.03776812168730372,0.12538786999807502
mlp,iid,B5,equalized_odds_gap,,,,5,0.09597060465426444,0.046532314778793576,0.15278830594407442
mlp,iid,B5,subgroup_accuracy_gap,,,,5,0.08341128139732856,0.04248423404931828,0.12520387109811432
mlp,iid,B5,runtime_ms,,,,5,155.00669181346893,151.533116819337,157.75126680964604
mlp,joint_dirichlet_0.3,B0,accuracy,,,,5,0.5513545816733068,0.4683930942895086,0.6406772908366534
mlp,joint_dirichlet_0.3,B0,macro_f1,,,,5,0.4714403389323648,0.41053816780260155,0.5373823171217716
mlp,joint_dirichlet_0.3,B0,demographic_parity_gap,,,,5,0.09583736617017846,0.05409806196960848,0.14198751184776942
mlp,joint_dirichlet_0.3,B0,equal_opportunity_gap,,,,5,0.08278703179560058,0.04005435692208208,0.1255197066691191
mlp,joint_dirichlet_0.3,B0,equalized_odds_gap,,,,5,0.09854627138151603,0.049321017345895876,0.15466956249449654
mlp,joint_dirichlet_0.3,B0,subgroup_accuracy_gap,,,,5,0.08367821038067899,0.042602495604457724,0.12482798004686291
mlp,joint_dirichlet_0.3,B0,runtime_ms,,,,5,112.9834744031541,110.0124410004355,115.56214099982753
mlp,joint_dirichlet_0.3,B3,accuracy,,,,5,0.48381142098273566,0.33136786188579015,0.6362549800796813
mlp,joint_dirichlet_0.3,B3,macro_f1,,,,5,0.40793144421840805,0.3114751021851938,0.5043877862516223
mlp,joint_dirichlet_0.3,B3,demographic_parity_gap,,,,5,0.06790235642707994,0.04301551640307379,0.09278919645108608
mlp,joint_dirichlet_0.3,B3,equal_opportunity_gap,,,,5,0.052642359899260284,0.019933613267293083,0.08810014103324985
mlp,joint_dirichlet_0.3,B3,equalized_odds_gap,,,,5,0.0693497973785688,0.045002839758305976,0.09189794293943834
mlp,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,,,,5,0.08780569832700097,0.036465223177363185,0.1385176155978317
