suite,comparison,metric,n,paired_t_p,paired_t_p_holm,wilcoxon_p
mlp,B3-B0,accuracy,5,0.022278482012126795,1.0,0.125
mlp,B3-B0,macro_f1,5,0.04221816836674084,1.0,0.125
mlp,B3-B0,demographic_parity_gap,5,0.6622026187182171,1.0,0.8125
mlp,B3-B0,equal_opportunity_gap,5,0.9241246462186584,1.0,1.0
mlp,B3-B0,equalized_odds_gap,5,0.8457895405957775,1.0,1.0
mlp,B3-B0,subgroup_accuracy_gap,5,0.23075554520593353,1.0,0.3125
mlp,B3-B0,accuracy,5,0.16663083297425987,1.0,0.3125
mlp,B3-B0,macro_f1,5,0.0844973214810002,1.0,0.0625
mlp,B3-B0,demographic_parity_gap,5,0.2442129092753483,1.0,0.4375
mlp,B3-B0,equal_opportunity_gap,5,0.02340950380027686,1.0,0.0625
mlp,B3-B0,equalized_odds_gap,5,0.1833924140219446,1.0,0.1875
mlp,B3-B0,subgroup_accuracy_gap,5,0.6934763766383186,1.0,0.8125
mlp,B5-B0,accuracy,5,0.5140124884442367,1.0,0.625
mlp,B5-B0,macro_f1,5,0.673941061921012,1.0,0.8125
mlp,B5-B0,demographic_parity_gap,5,0.09911091172470243,1.0,0.125
mlp,B5-B0,equal_opportunity_gap,5,0.26197270924156646,1.0,0.3125
mlp,B5-B0,equalized_odds_gap,5,0.033069070108767674,1.0,0.0625
mlp,B5-B0,subgroup_accuracy_gap,5,0.8389988052905237,1.0,1.0
mlp,B5-B0,accuracy,5,0.12087698002822568,1.0,0.1875
mlp,B5-B0,macro_f1,5,0.02504730448273159,1.0,0.0625
mlp,B5-B0,demographic_parity_gap,5,0.38938474363880876,1.0,0.4375
mlp,B5-B0,equal_opportunity_gap,5,0.3023688851906303,1.0,0.4375
mlp,B5-B0,equalized_odds_gap,5,0.4758700762619972,1.0,0.4375
mlp,B5-B0,subgroup_accuracy_gap,5,0.7988537856341277,1.0,0.8125
adversarial,B6-B0,accuracy,5,0.6223142163181166,1.0,0.625
adversarial,B6-B0,macro_f1,5,0.39546452774132623,1.0,0.4375
adversarial,B6-B0,demographic_parity_gap,5,0.35030541467301274,1.0,0.4375
adversarial,B6-B0,equal_opportunity_gap,5,0.29251153350264747,1.0,0.3125
adversarial,B6-B0,equalized_odds_gap,5,0.2992726620229617,1.0,0.3125
adversarial,B6-B0,subgroup_accuracy_gap,5,0.6164398047910478,1.0,0.8125
adversarial,B6-B0,accuracy,5,0.4198897626245855,1.0,0.625
adversarial,B6-B0,macro_f1,5,0.9351388237094836,1.0,0.625
adversarial,B6-B0,demographic_parity_gap,5,0.7890007217716758,1.0,0.625
adversarial,B6-B0,equal_opportunity_gap,5,0.03871521954194192,1.0,0.125
adversarial,B6-B0,equalized_odds_gap,5,0.4180639518312193,1.0,0.4375
adversarial,B6-B0,subgroup_accuracy_gap,5,0.6736430516421917,1.0,0.625
adversarial,B6-B0,accuracy,5,0.12107087818729699,1.0,0.0625
adversarial,B6-B0,macro_f1,5,0.8827475284178871,1.0,0.8125
adversarial,B6-B0,demographic_parity_gap,5,0.5126541882246632,1.0,0.4375
adversarial,B6-B0,equal_opportunity_gap,5,0.16731303448597953,1.0,0.1875
adversarial,B6-B0,equalized_odds_gap,5,0.049972199716013466,1.0,0.125
adversarial,B6-B0,subgroup_accuracy_gap,5,0.057227905551400164,1.0,0.125
adversarial,B6-B0,accuracy,5,0.7349064075648866,1.0,0.8125
adversarial,B6-B0,macro_f1,5,0.4424814736144897,1.0,0.4375
adversarial,B6-B0,demographic_parity_gap,5,0.37337016710820803,1.0,0.625
adversarial,B6-B0,equal_opportunity_gap,5,0.20027863775109006,1.0,0.125
adversarial,B6-B0,equalized_odds_gap,5,0.22944539043167084,1.0,0.125
adversarial,B6-B0,subgroup_accuracy_gap,5,0.6367537397972285,1.0,1.0
