suite,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation
mlp,B3-B0,accuracy,5,-0.08116865869853919,-1.620691717971,-0.8666666666666667
mlp,B3-B0,macro_f1,5,-0.048052869692300756,-1.3166231095138436,-0.8666666666666667
mlp,B3-B0,demographic_parity_gap,5,-0.005786479560555476,-0.2106212930079703,0.2
mlp,B3-B0,equal_opportunity_gap,5,-0.000682374728029763,-0.04534014914655944,-0.06666666666666667
mlp,B3-B0,equalized_odds_gap,5,-0.0023820200714136596,-0.0927758910157368,0.0
mlp,B3-B0,subgroup_accuracy_gap,5,-0.030241868309511838,-0.6315431858001226,-0.6
mlp,B3-B0,accuracy,5,-0.06754316069057101,-0.7550167517477243,-0.6
mlp,B3-B0,macro_f1,5,-0.06350889471395671,-1.021032743284887,-1.0
mlp,B3-B0,demographic_parity_gap,5,-0.02793500974309852,-0.6100983284709104,-0.4666666666666667
mlp,B3-B0,equal_opportunity_gap,5,-0.030144671896340302,-1.5958313626334364,-1.0
mlp,B3-B0,equalized_odds_gap,5,-0.029196474002947247,-0.7185458985307837,-0.7333333333333333
mlp,B3-B0,subgroup_accuracy_gap,5,0.004127487946321983,0.18955038227074325,0.2
mlp,B5-B0,accuracy,5,0.0004382470119521975,0.3198461349203513,0.3333333333333333
mlp,B5-B0,macro_f1,5,-0.00012917581423820267,-0.20265008801420195,-0.2
mlp,B5-B0,demographic_parity_gap,5,-0.001092577418481956,-0.9569443153467908,-0.8666666666666667
mlp,B5-B0,equal_opportunity_gap,5,-0.0015090386376267772,-0.5835117174858303,-0.6
mlp,B5-B0,equalized_odds_gap,5,-0.0021883426412199402,-1.4286915539456495,-1.0
mlp,B5-B0,subgroup_accuracy_gap,5,7.458445524112095e-05,0.09693994173031831,0.06666666666666667
mlp,B5-B0,accuracy,5,-0.07073041168658696,-0.8787196188050497,-0.7333333333333333
mlp,B5-B0,macro_f1,5,-0.057990746125317405,-1.5622604407441505,-1.0
mlp,B5-B0,demographic_parity_gap,5,-0.030673295513412663,-0.43136670201077915,-0.4666666666666667
mlp,B5-B0,equal_opportunity_gap,5,0.033188910868014246,0.5289895258688093,0.4666666666666667
mlp,B5-B0,equalized_odds_gap,5,0.022025998950750462,0.35146366657447564,0.4666666666666667
mlp,B5-B0,subgroup_accuracy_gap,5,-0.005540239729788554,-0.12178609045788695,-0.2
adversarial,B6-B0,accuracy,5,-0.0060159362549800696,-0.2383333442740482,-0.3333333333333333
adversarial,B6-B0,macro_f1,5,-0.0650427073558751,-0.42529214841333346,-0.4666666666666667
adversarial,B6-B0,demographic_parity_gap,5,-0.09637912749747453,-0.4725015577183801,-0.4666666666666667
adversarial,B6-B0,equal_opportunity_gap,5,-0.07739498049582699,-0.5416254250075595,-0.6
adversarial,B6-B0,equalized_odds_gap,5,-0.08478967052994381,-0.5329163261278957,-0.6
adversarial,B6-B0,subgroup_accuracy_gap,5,-0.013305291514552897,-0.2425035791928366,-0.2
adversarial,B6-B0,accuracy,5,-0.006401062416998648,-0.4016569042911017,-0.3333333333333333
adversarial,B6-B0,macro_f1,5,-0.0048759736894793074,-0.03873615916653808,-0.3333333333333333
adversarial,B6-B0,demographic_parity_gap,5,0.0072538247100013,0.1279518481879937,-0.3333333333333333
adversarial,B6-B0,equal_opportunity_gap,5,-0.016774902593378122,-1.3558258082020112,-0.8666666666666667
adversarial,B6-B0,equalized_odds_gap,5,-0.007319064020703961,-0.4033833284217471,-0.4666666666666667
adversarial,B6-B0,subgroup_accuracy_gap,5,-0.010135694884224875,-0.20285150183784648,0.3333333333333333
adversarial,B6-B0,accuracy,5,0.12851261620185922,0.8780942206990983,1.0
adversarial,B6-B0,macro_f1,5,-0.01144399583569632,-0.07027505799094053,-0.2
adversarial,B6-B0,demographic_parity_gap,5,-0.028770723930378904,-0.32094141613840216,-0.4666666666666667
adversarial,B6-B0,equal_opportunity_gap,5,-0.049849684488798764,-0.7534588131875122,-0.7333333333333333
adversarial,B6-B0,equalized_odds_gap,5,-0.06357300027689657,-1.2419070840890063,-0.8666666666666667
adversarial,B6-B0,subgroup_accuracy_gap,5,0.06107854674690351,1.1832707411582621,0.8666666666666667
adversarial,B6-B0,accuracy,5,-0.003798140770252334,-0.16238228981690644,-0.2
adversarial,B6-B0,macro_f1,5,-0.05903985670182934,-0.38078950378242504,-0.4666666666666667
adversarial,B6-B0,demographic_parity_gap,5,-0.09114202778288012,-0.4477668534922292,-0.3333333333333333
adversarial,B6-B0,equal_opportunity_gap,5,-0.09191643565736402,-0.685143348568628,-0.8666666666666667
adversarial,B6-B0,equalized_odds_gap,5,-0.09333874033755445,-0.6336969210527836,-0.8666666666666667
adversarial,B6-B0,subgroup_accuracy_gap,5,-0.01188425524396496,-0.22818365188892836,-0.06666666666666667
