suite,partition,comparison,metric,n,mean_difference,paired_effect_size_dz,rank_biserial_correlation,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,paired_t_p_holm,attack_type
mlp,iid,B3-B0,accuracy,5,-0.08116865869853919,-1.620691717971,-0.8666666666666667,-3.6239768519540743,0.022278482012126795,1.0,0.125,1.0,
mlp,iid,B3-B0,macro_f1,5,-0.048052869692300756,-1.3166231095138436,-0.8666666666666667,-2.9440587736201045,0.04221816836674084,1.0,0.125,1.0,
mlp,iid,B3-B0,demographic_parity_gap,5,-0.005786479560555476,-0.2106212930079703,0.2,-0.47096352867472274,0.6622026187182171,6.0,0.8125,1.0,
mlp,iid,B3-B0,equal_opportunity_gap,5,-0.000682374728029763,-0.04534014914655944,-0.06666666666666667,-0.10138365560168598,0.9241246462186584,7.0,1.0,1.0,
mlp,iid,B3-B0,equalized_odds_gap,5,-0.0023820200714136596,-0.0927758910157368,0.0,-0.20745319898429948,0.8457895405957775,5.0,1.0,1.0,
mlp,iid,B3-B0,subgroup_accuracy_gap,5,-0.030241868309511838,-0.6315431858001226,-0.6,-1.4121734941758541,0.23075554520593353,3.0,0.3125,1.0,
mlp,joint_dirichlet_0.3,B3-B0,accuracy,5,-0.06754316069057101,-0.7550167517477243,-0.6,-1.6882687810589947,0.16663083297425987,3.0,0.3125,1.0,
mlp,joint_dirichlet_0.3,B3-B0,macro_f1,5,-0.06350889471395671,-1.021032743284887,-1.0,-2.283098621238099,0.0844973214810002,0.0,0.0625,1.0,
mlp,joint_dirichlet_0.3,B3-B0,demographic_parity_gap,5,-0.02793500974309852,-0.6100983284709104,-0.4666666666666667,-1.3642213354199508,0.2442129092753483,4.0,0.4375,1.0,
mlp,joint_dirichlet_0.3,B3-B0,equal_opportunity_gap,5,-0.030144671896340302,-1.5958313626334364,-1.0,-3.5683874074744817,0.02340950380027686,0.0,0.0625,1.0,
mlp,joint_dirichlet_0.3,B3-B0,equalized_odds_gap,5,-0.029196474002947247,-0.7185458985307837,-0.7333333333333333,-1.6067174740684986,0.1833924140219446,2.0,0.1875,1.0,
mlp,joint_dirichlet_0.3,B3-B0,subgroup_accuracy_gap,5,0.004127487946321983,0.18955038227074325,0.2,0.4238475399184528,0.6934763766383186,6.0,0.8125,1.0,
mlp,iid,B5-B0,accuracy,5,0.0004382470119521975,0.3198461349203513,0.3333333333333333,0.7151977000224748,0.5140124884442367,5.0,0.625,1.0,
mlp,iid,B5-B0,macro_f1,5,-0.00012917581423820267,-0.20265008801420195,-0.2,-0.4531393724460709,0.673941061921012,6.0,0.8125,1.0,
mlp,iid,B5-B0,demographic_parity_gap,5,-0.001092577418481956,-0.9569443153467908,-0.8666666666666667,-2.139792539797419,0.09911091172470243,1.0,0.125,1.0,
mlp,iid,B5-B0,equal_opportunity_gap,5,-0.0015090386376267772,-0.5835117174858303,-0.6,-1.3047718659659693,0.26197270924156646,3.0,0.3125,1.0,
mlp,iid,B5-B0,equalized_odds_gap,5,-0.0021883426412199402,-1.4286915539456495,-1.0,-3.19465143350228,0.033069070108767674,0.0,0.0625,1.0,
mlp,iid,B5-B0,subgroup_accuracy_gap,5,7.458445524112095e-05,0.09693994173031831,0.06666666666666667,0.2167642994438603,0.8389988052905237,7.0,1.0,1.0,
