suite,client_count,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum
kubo_v2_bounded,5,B2,accuracy,3,0.7706507304116866,0.000878403489729279,0.7709827357237716,0.7696547144754317,0.7713147410358566,0.7696547144754317,0.7713147410358566
kubo_v2_bounded,5,B2,macro_f1,3,0.5059473633554412,0.004093665347499451,0.5073292283964561,0.501341595878817,0.5091712657910504,0.501341595878817,0.5091712657910504
kubo_v2_bounded,5,B2,demographic_parity_gap,3,0.02351196285623783,0.0015917888855949936,0.0238340281437066,0.0217837680258554,0.024918092399151503,0.0217837680258554,0.0249180923991515
kubo_v2_bounded,5,B2,equal_opportunity_gap,3,0.0292877716156256,0.002096831474272804,0.0289772204739836,0.0273635350506754,0.0315225593222178,0.0273635350506754,0.0315225593222178
kubo_v2_bounded,5,B2,equalized_odds_gap,3,0.0292877716156256,0.002096831474272804,0.0289772204739836,0.0273635350506754,0.0315225593222178,0.0273635350506754,0.0315225593222178
kubo_v2_bounded,5,B2,subgroup_accuracy_gap,3,0.18058902141772606,0.0007960645956061631,0.1803983578581901,0.17990560137844228,0.1814631050165458,0.1799056013784423,0.1814631050165458
kubo_v2_bounded,5,B2,runtime_ms,3,7466.8686393415555,386.3025819217522,7525.391458999366,7054.643791983835,7820.570667041466,7054.643791983835,7820.570667041466
kubo_v2_bounded,5,B4,accuracy,3,0.7641212926073484,0.007069244758503313,0.7607569721115538,0.7593625498007968,0.7722443559096946,0.7593625498007968,0.7722443559096945
kubo_v2_bounded,5,B4,macro_f1,3,0.47536796155543254,0.0346578456608306,0.4588147588837301,0.4520904842827725,0.5151986414997951,0.4520904842827725,0.5151986414997951
kubo_v2_bounded,5,B4,demographic_parity_gap,3,0.012838554609610567,0.011028169416034132,0.0073140788078586,0.0056644629061687,0.0255371221148044,0.0056644629061687,0.0255371221148044
kubo_v2_bounded,5,B4,equal_opportunity_gap,3,0.0130532394330261,0.008795304661095658,0.0082272251865163,0.00772741111735,0.023205081995212,0.00772741111735,0.023205081995212
kubo_v2_bounded,5,B4,equalized_odds_gap,3,0.0130532394330261,0.008795304661095658,0.0082272251865163,0.00772741111735,0.023205081995212,0.00772741111735,0.023205081995212
kubo_v2_bounded,5,B4,subgroup_accuracy_gap,3,0.18725896965064726,0.006269778157862325,0.1904396777908205,0.18003634783620717,0.1913008833249141,0.1800363478362072,0.1913008833249141
kubo_v2_bounded,5,B4,runtime_ms,3,14254.77109766022,2783.051713293407,15721.796291996725,11045.121458999349,15997.395541984588,11045.121458999349,15997.395541984588
kubo_v2_bounded,5,B7,accuracy,3,0.7794156706507304,0.018567736575540658,0.7774900398406375,0.7618857901726428,0.798871181938911,0.7618857901726428,0.798871181938911
kubo_v2_bounded,5,B7,macro_f1,3,0.5813559859338503,0.14396409833521062,0.5385455254984658,0.4636529490806996,0.7418694832223856,0.4636529490806996,0.7418694832223856
kubo_v2_bounded,5,B7,demographic_parity_gap,3,0.07645604056892613,0.10549408224009492,0.0234476862019219,0.0079781817500531,0.19794225375480337,0.0079781817500531,0.1979422537548034
kubo_v2_bounded,5,B7,equal_opportunity_gap,3,0.04975120683677097,0.07388309302518091,0.0092239972444536,0.0050004255559788,0.1350291977098805,0.0050004255559788,0.1350291977098805
kubo_v2_bounded,5,B7,equalized_odds_gap,3,0.04975120683677097,0.07388309302518091,0.0092239972444536,0.0050004255559788,0.1350291977098805,0.0050004255559788,0.1350291977098805
kubo_v2_bounded,5,B7,subgroup_accuracy_gap,3,0.15297909254215422,0.05258256049844481,0.1761780034189456,0.0927865967669919,0.18997267744052512,0.0927865967669919,0.1899726774405251
