node_id,artifact_type,cid,size_bytes,artifact_path,ipfs_mode,retrieval_latency_ms,retrieval_status,pin_status,upload_latency_ms,missing_reason
1,model,bafkreihuzbd3qwo3aem22e5t43ae6ietvoiaeaknj7rb6rugkw6rdqbvpe,139,outputs/fairai_mvp_signed_results/ipfs/bafkreihuzbd3qwo3aem22e5t43ae6ietvoiaeaknj7rb6rugkw6rdqbvpe.json,kubo-http,0.85,True,True,missing,
1,metrics,bafkreidctgqjqvmdd3fi67frqxmv3c7duzhyp3ui6nxcq7vvkeytcdpyoq,268,outputs/fairai_mvp_signed_results/ipfs/bafkreidctgqjqvmdd3fi67frqxmv3c7duzhyp3ui6nxcq7vvkeytcdpyoq.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
1,metadata,bafkreicf3l6izo7ripo36bp4tmsm2tmmjqszcioyydjbqfidg3wswbmzja,212,outputs/fairai_mvp_signed_results/ipfs/bafkreicf3l6izo7ripo36bp4tmsm2tmmjqszcioyydjbqfidg3wswbmzja.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
1,proof,bafkreidywq5jkv5tubwytn5tqrreygochmjpfngqpih76gghs6cwiln3d4,722,outputs/fairai_mvp_signed_results/ipfs/bafkreidywq5jkv5tubwytn5tqrreygochmjpfngqpih76gghs6cwiln3d4.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
1,public_inputs,bafkreibrxlbiwr35tj7prx3eoqpfkkt4yfghkvj3w64lbmt7sm5dl3n2bm,61,outputs/fairai_mvp_signed_results/ipfs/bafkreibrxlbiwr35tj7prx3eoqpfkkt4yfghkvj3w64lbmt7sm5dl3n2bm.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
1,manifest,bafkreihtknztt4devqpxqtsonko7vwddrcdlnqohe7nqx6th3esshsrwyq,637,outputs/fairai_mvp_signed_results/ipfs/bafkreihtknztt4devqpxqtsonko7vwddrcdlnqohe7nqx6th3esshsrwyq.json,kubo-http,1.113,True,True,missing,
2,model,bafkreibpj5727w67ixqy4w42r7z3ziwd7ykcup7sda3433c4hmgc5l2vjm,137,outputs/fairai_mvp_signed_results/ipfs/bafkreibpj5727w67ixqy4w42r7z3ziwd7ykcup7sda3433c4hmgc5l2vjm.json,kubo-http,0.73,True,True,missing,
2,metrics,bafkreiezf3ibqdv7ny4v43i5ochssd5yn3r7uyydxfjizrnfdy2jf5xrsa,255,outputs/fairai_mvp_signed_results/ipfs/bafkreiezf3ibqdv7ny4v43i5ochssd5yn3r7uyydxfjizrnfdy2jf5xrsa.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
2,metadata,bafkreieqbwei2hdx7xnycps5wln5cjm5xzz4s76rp2oevosxsyskfvgpzi,212,outputs/fairai_mvp_signed_results/ipfs/bafkreieqbwei2hdx7xnycps5wln5cjm5xzz4s76rp2oevosxsyskfvgpzi.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
2,proof,bafkreictiddzwcshs6miwlmbj754rbjexrqckc2pqswxgzq6z3vmtlldyi,720,outputs/fairai_mvp_signed_results/ipfs/bafkreictiddzwcshs6miwlmbj754rbjexrqckc2pqswxgzq6z3vmtlldyi.json,kubo-http,missing,missing,missing,missing,upload latency was not exported for individual artifacts
